Name,Stage,Parent,Base Class,Promotions,Power Core Ability,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Attack,Defense,Magic,Magic Defense,Weapons,Off Hands,Armor,Helmets,Starting Equipment,Description
Footpad,Base,,Footpad,Thief; Inquisitor; Assassin; Spell Stealer,,0,0,0,1,2,2,2,1,1,2,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,Weapon: Dirk; OffHand: Dirk; Armor: Padded Armor,"Footpads are agile and perceptive, with an natural ability of deftness. While more than capable of holding their own in hand-to-hand combat, they truly excel at subterfuge. Footpads are the only base class that can dual wield, albeit the offhand weapon must be a dagger."
Assassin,First Promotion,Footpad,Footpad,Ninja,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency."
Inquisitor,First Promotion,Footpad,Footpad,Seeker,,2,0,0,2,1,1,2,2,2,2,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,,"Inquisitors turn stealth-honed observation toward a pure disdain for hidden evil. They excel at rooting out secrets and unraveling mysteries. They rely on a sharp eye for detail, but also on a finely honed ability to read the words and deeds of other creatures to determine their true intent. They excel at defeating creatures that hide in the shadows and their mastery of lore and sharp eye make them well-equipped to expose and end hidden evils."
Spell Stealer,First Promotion,Footpad,Footpad,Arcane Trickster,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic."
Thief,First Promotion,Footpad,Footpad,Rogue,,0,1,0,1,2,2,2,2,1,3,Fist; Dagger; Sword; Club,Fist; Dagger,Light,Light,,"Thieves prefer stealth over brute force, although a well-placed backstab is still highly effective. They gain stealth abilities more quickly than other classes and are typically more well-balanced."
Arcane Trickster,Second Promotion,Spell Stealer,Footpad,,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar."
Ninja,Second Promotion,Assassin,Footpad,,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills."
Rogue,Second Promotion,Thief,Footpad,,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons."
Seeker,Second Promotion,Inquisitor,Footpad,,Eyes of the Unseen,2,1,0,2,1,1,3,2,2,3,Dagger; Sword; Club,Shield,Light; Medium,Light; Medium,,"Seekers are very good at moving through the dungeon, being able to levitate, locate other characters, and teleport. They can't directly kill monsters with their magical abilities, but a Seeker does well with a weapon in hand. They are also the best at mapping the dungeon and detecting any types of 'anomalies' they may encounter in the depths."
Healer,Base,,Healer,Cleric; Monk; Priest; Bard,,0,1,2,1,1,0,1,1,2,2,Club; Staff,Shield; Tome,Cloth; Light,Cloth; Light,Weapon: Quarterstaff; Armor: Padded Armor,"Healers primary role in battle is to preserve the party with healing and protective spells. Well, how does that work when they are alone? Pretty much the same way!"
Bard,First Promotion,Healer,Healer,Troubadour,,1,1,1,1,1,1,1,1,3,3,Dagger; Sword; Staff,Musical Instrument,Cloth; Light,Cloth; Light,,"The Bard is a master of performance and inspiration, blending healing arts with the power of music and storytelling. They can weave enchanting melodies to bolster their own strength, restore health, and demoralize enemies. Bards excel at turning the tide of battle through clever improvisation, crowd control, and spellcasting."
Cleric,First Promotion,Healer,Healer,Templar; Hierophant,,1,0,2,2,1,0,2,2,2,2,Club; Staff,Shield,Light; Medium,Light; Medium,,"Where the paladin is a warrior that can heal, a cleric is a healer that can hold their own in combat. The biggest difference is that the cleric cannot equip heavy armor (yet...) but gain additional protective abilities that paladins do not."
Monk,First Promotion,Healer,Healer,Master Monk,,2,0,1,1,1,1,3,2,1,2,Fist; Staff,Fist,Light,Light,,"Monks focus the mind into the body, harnessing the inner power of the chi. Monks specialize in hand-to-hand combat, adding both strength and wisdom to their melee damage."
Priest,First Promotion,Healer,Healer,Archbishop,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana."
Archbishop,Second Promotion,Priest,Healer,,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available."
Hierophant,Second Promotion,Cleric,Healer,,Sacred Overchannel,1,1,3,1,1,0,2,2,3,3,Club; Staff,Shield,Cloth; Light,Cloth; Light,,"A hierophant carries the cleric's shield and holy resolve into a more mystical form of combat. Staff, ward, and prayer move together, letting the hierophant stand forward without abandoning the healer's spellcraft."
Master Monk,Second Promotion,Monk,Healer,,Dim Mak,2,0,1,2,1,1,4,2,1,3,Fist; Staff,Fist,Light,Light,,"A master monk has fully attuned to the power of the chi, becoming unparalleled at dealing damage with fists or a staff."
Templar,Second Promotion,Cleric,Healer,,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer."
Troubadour,Second Promotion,Bard,Healer,,Melody of Inspiration,1,1,1,1,1,2,1,2,4,3,Dagger; Sword; Staff,Dagger; Musical Instrument,Cloth; Light,Cloth; Light,,"The Troubadour is the pinnacle of the Bard's art, a legendary performer who wields songs and stories with unmatched mastery. Their melodies amplify their abilities, granting powerful buffs and healing over time, while their sharp wit and magical harmonies sow discord among foes. They are paragons of charisma, seamlessly blending support, enchantment, and clever combat tricks to uplift their companions and ensure victory through the power of performance."
Mage,Base,,Mage,Sorcerer; Warlock; Spellblade; Conjurer,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,Weapon: Quarterstaff; Armor: Tunic,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics."
Conjurer,First Promotion,Mage,Mage,Thaumaturgist,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training."
Sorcerer,First Promotion,Mage,Mage,Wizard,,0,3,2,0,1,0,0,1,4,3,Dagger; Staff,Tome,Cloth,Cloth,,"A Sorcerer is someone who practices magic derived from supernatural, occult, or arcane sources. They spend most of their life reading massive tomes to expand their knowledge and the rest of the time applying that knowledge at the expense of anything in their path."
Spellblade,First Promotion,Mage,Mage,Knight Enchanter,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies."
Warlock,First Promotion,Mage,Mage,Shadowcaster; Demonologist,,0,2,1,1,2,0,1,1,4,2,Dagger; Staff,Tome,Cloth,Cloth,,"The Warlock specializes in the dark arts while retaining earlier Mage training. This focus unlocks powerful abilities, including the ability to summon a familiar to aid them."
Demonologist,Second Promotion,Warlock,Mage,,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint."
Knight Enchanter,Second Promotion,Spellblade,Mage,,Arcane Blast,2,1,0,2,1,1,4,1,2,3,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,,"The Knight Enchanter weaves spell signatures through Arcane and Elemental Blade Charges, then shapes the pattern into weapon, ward, or bound-spell releases."
