Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.ability.steal-spell-2,Spell Theft,0,0,ability,Steal Spell 2,2,,,Attempt to permanently learn one of the target's stealable spells.
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.talent.master-thief,Spell Theft,0,1,talent,Master Thief,3,65,arcane-trickster.ability.steal-spell-2,Add 15 percentage points to Steal Spell II's learning chance and raise its cap to 90%.
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.ability.arcane-ambush,Spell Theft,0,2,ability,Arcane Ambush,2,70,arcane-trickster.talent.master-thief,Strike for 130% weapon damage; committed Stolen Charge releases normally.
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.talent.mnemonic-larceny,Spell Theft,0,3,talent,Mnemonic Larceny,3,75,arcane-trickster.ability.arcane-ambush,Permanently learning a spell restores half of Steal Spell II's MP cost.
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.ability.third-eye,Misdirection,1,0,ability,Third Eye,2,,,Passive: Add Intelligence to critical-hit and dodge chance calculations.
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.ability.vanishing-act,Misdirection,1,1,ability,Vanishing Act,2,65,arcane-trickster.ability.third-eye,Spend one Stolen Charge to raise Speed and Defense for three turns.
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.talent.escape-artist,Misdirection,1,2,talent,Escape Artist,3,70,arcane-trickster.ability.vanishing-act,Vanishing Act grants 12 Speed and Defense for four turns instead of 8 for three.
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.ability.false-opening,Misdirection,1,3,ability,False Opening,2,75,arcane-trickster.talent.escape-artist,Strike for 85% weapon damage and reduce the target's Attack and Magic.
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.talent.misdirection,Misdirection,1,4,talent,Misdirection,3,80,arcane-trickster.ability.false-opening,A successful Stolen Charge payoff also lowers the target's Attack and Magic for two turns.
Arcane Trickster,Second Promotion,Spell Stealer,Trickster's Gambit,0,3,1,0,1,2,1,1,5,3,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Arcane Trickster elevates the Spell Stealer's cunning and arcane mastery to new heights. Adept at weaving magic and subterfuge, these versatile spellcasters manipulate the battlefield with illusions, stealth, and devastating arcane strikes. Their ability to enhance their physical attacks with magical force and cast debilitating spells ensures they are as dangerous in close quarters as from afar.",arcane-trickster.talent.grand-larceny,Misdirection,1,5,talent,Grand Larceny,3,85,arcane-trickster.talent.misdirection,Increase maximum Stolen Charge by one.
