Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.ability.great-benediction,Benediction,0,0,ability,Great Benediction,2,,,"Spend at least 3 Prayer for healing, defense, status resistance, and MP sustain."
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.ready-benediction,Benediction,0,1,talent,Ready Benediction,1,65,archbishop.ability.great-benediction,Great Benediction can be cast with two Prayer instead of three.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.greater-benediction,Benediction,0,2,talent,Greater Benediction,1,70,archbishop.talent.ready-benediction,Great Benediction's Prayer scaling increases by 15%.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.lasting-benediction,Benediction,0,3,talent,Lasting Benediction,1,75,archbishop.talent.greater-benediction,Great Benediction lasts one additional turn.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.benediction-aegis,Benediction,0,4,talent,Benediction Aegis,1,80,archbishop.talent.lasting-benediction,Great Benediction grants five Magic Defense per Prayer instead of four.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.healing-liturgy,Benediction,0,5,talent,Healing Liturgy,1,85,archbishop.talent.benediction-aegis,Great Benediction gains one percentage point more healing per Prayer.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.talent.mana-liturgy,Benediction,0,6,talent,Mana Liturgy,1,90,archbishop.talent.healing-liturgy,Great Benediction restores one MP per two Prayer instead of per three.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.ability.doublecast,Great Gospel,1,0,ability,Doublecast,1,,,Cast multiple spells in a single turn.
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.ability.holy-3,Great Gospel,1,1,ability,Holy III,1,65,archbishop.ability.doublecast,"The enemy is bathed in a holy light, cleansing it of evil. There is a chance on critical hit that the target will be blinded for a duration."
Archbishop,Second Promotion,Priest,Great Gospel,0,3,3,0,1,0,1,2,4,3,Club; Staff,Tome,Cloth,Cloth,"An archbishop attunes with the holy light for the most powerful healing, protective, and holy magics available.",archbishop.ability.silence,Great Gospel,1,2,ability,Silence,1,70,archbishop.ability.holy-3,"Tongue-tie the enemy's brain, making spell casting impossible."
