Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.ability.vilepotion,Venom,0,0,ability,Vile Potion,1,,,Imbibe rot and spew putrid vomitus at a foe.
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.talent.patient-venom,Venom,0,1,talent,Patient Venom,1,65,archdruid.ability.vilepotion,Increase Magic by 10% while cultivating Venom attunement.
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.ability.poison-breath,Venom,0,2,ability,Poison Breath,1,70,archdruid.talent.patient-venom,"Your spew forth a toxic breath, dealing poison damage and poisoning the target."
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.talent.toxic-memory,Venom,0,3,talent,Toxic Memory,1,75,archdruid.ability.poison-breath,Increase Magic Defense by 10% after surviving poison.
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.talent.serpents-patience,Venom,0,4,talent,Serpent's Patience,1,80,archdruid.talent.toxic-memory,Increase Magic by 10% for deliberate poison pressure.
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.talent.venom-aspect,Venom,0,5,talent,Venom Aspect,1,85,archdruid.talent.serpents-patience,Increase Magic by 10% as the Venom aspect approaches mastery.
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.talent.venom-incarnate,Venom,0,6,talent,Venom Incarnate,2,90,archdruid.talent.venom-aspect,Increase Magic by 10% after completing the Venom discipline.
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.ability.natureshield,Stone,1,0,ability,Nature Shield,1,,,Conjure life-orbs that intercept attack spells and heal you.
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.talent.granite-memory,Stone,1,1,talent,Granite Memory,1,65,archdruid.ability.natureshield,Increase Defense by 10% while cultivating Stone attunement.
Archdruid,Second Promotion,Druid,Primal Ascendance,0,3,2,1,0,1,1,2,4,3,Dagger; Staff,Tome,Cloth,Cloth,"The Archdruid is the ultimate embodiment of nature's power, a legendary figure who has mastered the ways of the natural world.",archdruid.talent.rooted-bastion,Stone,1,2,talent,Rooted Bastion,1,70,archdruid.talent.granite-memory,Increase Magic Defense by 10% against control magic.
