Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.steal,Utility,0,0,ability,Steal,1,,,Relieve the enemy of their items or gold.
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.lockpick,Utility,0,1,ability,Lockpick,1,35,assassin.ability.steal,Unlock a locked chest while carrying a Lockpick Kit. The kit may lose durability or break.
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.disruption,Utility,0,3,ability,Disruption,1,45,assassin.ability.lockpick,Attack a charging target to interrupt its spell; a critical hit also Silences it for 2 turns.
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.forgoodmeasure,Utility,0,4,ability,For Good Measure,1,50,assassin.ability.disruption,Passive: A successful Disarm is followed by an off-hand attack.
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.distract,Utility,0,5,ability,Distract,1,55,assassin.ability.forgoodmeasure,Create a diversion that costs the target two turns; attacking restores its focus.
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.twisttheknife,Combat,1,0,ability,Twist the Knife,1,,,Passive: A successful Kidney Punch stun triggers Backstab.
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.offhandexcellence,Combat,1,1,ability,OffHand Excellence,1,35,assassin.ability.twisttheknife,Passive: Reduces the damage penalty for off-hand attacks.
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.sneakattack,Combat,1,3,ability,Sneak Attack,1,45,assassin.ability.offhandexcellence,"Death Mark Setup: if the target is incapacitated, unleash a devastating attack."
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.maim,Combat,1,4,ability,Maim,1,50,assassin.ability.sneakattack,"Target the foe's main hand, rendering it unusable. A critical hit deals triple damage."
Assassin,First Promotion,Footpad,,0,0,1,0,2,3,3,1,1,3,Fist; Dagger,Fist; Dagger,Light,Light,"You focus your training on the grim art of death. Those who adhere to this archetype are diverse: hired killers, spies, bounty hunters, and even specially anointed priests trained to exterminate the enemies of their deity. Stealth, poison, and disguise help you eliminate your foes with deadly efficiency.",assassin.ability.triplestrike,Combat,1,5,ability,Triple Strike,1,55,assassin.ability.maim,Strike the enemy three times in quick succession.
