Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.conjure-humanoid,Calling,0,0,ability,Conjure Humanoid,1,,,Conjure a nearby humanoid creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.conjure-monster,Calling,0,1,ability,Conjure Monster,1,35,conjurer.ability.conjure-humanoid,Conjure a nearby monster creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.conjure-spirit,Calling,0,2,ability,Conjure Spirit,1,40,conjurer.ability.conjure-monster,Conjure a nearby spirit creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.conjure-fiend,Calling,0,3,ability,Conjure Fiend,1,45,conjurer.ability.conjure-spirit,Conjure a nearby fiend creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.conjure-celestial,Calling,0,4,ability,Conjure Celestial,1,50,conjurer.ability.conjure-fiend,Conjure a nearby celestial creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.conjure-dragon,Calling,0,5,ability,Conjure Dragon,1,55,conjurer.ability.conjure-celestial,Conjure a nearby dragon creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.sleep,Binding,1,0,ability,Sleep,1,,,A magical tune lulls the target to sleep.
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.silence,Binding,1,1,ability,Silence,1,35,conjurer.ability.sleep,"Tongue-tie the enemy's brain, making spell casting impossible."
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.banish,Binding,1,2,ability,Banish,1,40,conjurer.ability.silence,Send a fiend or fey away from this realm. Banished enemies grant no rewards.
Conjurer,First Promotion,Mage,,0,2,1,0,2,1,0,1,3,3,Dagger; Staff,Tome,Cloth,Cloth,"The Conjurer develops Constructs, Binding, Illusion and Movement, and Calling. Its called creatures remain short-lived; permanent Xenid bonds begin only with Thaumaturgist training.",conjurer.ability.weaken-mind,Binding,1,3,ability,Weaken Mind,1,45,conjurer.ability.banish,"Attack the enemy's mind, diminishing their ability to deal damage and defend against magic."
