Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.ability.two-handed-proficiency,Melee,0,1,ability,Two-Handed Weapon Proficiency,2,65,crusader.ability.condemnation,Passive: Increase accuracy and damage while wielding a two-handed weapon.
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.ability.parry,Melee,0,2,ability,Parry,1,,crusader.ability.two-handed-proficiency,Passive: Chance to deflect some or all damage from an incoming melee attack. Cannot Parry while wielding a shield.
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.ability.mortal-strike,Melee,0,3,ability,Mortal Strike,1,75,crusader.ability.two-handed-proficiency,"Assault the enemy, striking them with a critical hit and placing a bleed effect that deals damage. Requires a 2-handed weapon."
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.talent.righteous-advance,Melee,0,4,talent,Righteous Advance,1,80,crusader.ability.mortal-strike,Increase Attack by 30% and improve every form of Oath's Judgment.
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.ability.penalization,Melee,0,5,ability,Penalization,2,85,crusader.talent.righteous-advance,"Passive: Successful Mortal Strike hits trigger wrath, increasing critical strike chance and Holy damage for the rest of combat."
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.ability.condemnation,Melee,1,0,ability,Condemnation,1,,,Strike with holy vengeance for weapon and Holy damage.
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.ability.beyond-reproach,Melee,1,3,ability,Beyond Reproach,1,75,crusader.ability.condemnation,"Passive: Condemnation can mark undead and fiends, causing a successful Repel the Wicked to disintegrate them."
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.ability.sword-and-board,Melee,2,1,ability,Sword & Board,2,65,crusader.ability.condemnation,Passive: Gain accuracy and weapon damage while wielding a one-handed weapon and a shield.
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.ability.censure,Melee,2,2,ability,Censure,1,70,crusader.ability.sword-and-board,Attack with a chance to interrupt an enemy charge ability.
Crusader,Second Promotion,Paladin,Divine Aegis,2,0,2,2,1,0,3,3,2,2,Sword; Club; Longsword; Hammer,Shield,Medium; Heavy,Medium; Heavy,"The Crusader is a holy warrior, who values order and justice above all else. Crusaders continue the path of the paladin, fully embracing all aspects that carry over.",crusader.ability.true-piercing-strike,Melee,2,3,ability,True Piercing Strike,1,75,crusader.ability.censure,"Attack that is guaranteed to hit and that pierces the enemy's defenses, ignoring armor and defenses but reduces weapon damage."
