Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.ability.mystical-vitality,Contagion,0,0,ability,Mystical Vitality,1,,,Spells cost 25% less mana for two turns after using Life Tap.
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.ability.contagious-blaze,Contagion,0,1,ability,Contagious Blaze,1,65,demonologist.ability.mystical-vitality,Fire spells detonate Corruption around the target and may spread it.
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.ability.corruption-2,Contagion,0,2,ability,Corruption 2,1,70,demonologist.ability.contagious-blaze,"A stronger corruption that damages over time, fed by fiend contracts."
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.rating.magic,Contagion,0,3,rating,+30 Magic,1,,demonologist.ability.corruption-2,Permanently increase Magic by 30.
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.ability.persistent-corruption,Contagion,0,4,ability,Persistent Corruption,1,80,demonologist.rating.magic,Corruption lasts at least four turns and deals 25% more damage.
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.ability.fine-print,Contract Mastery,1,0,ability,Fine Print,1,,,Reduce fiend-contract gold costs by 20%.
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.ability.controlled-corruption,Contract Mastery,1,2,ability,Controlled Corruption,1,70,demonologist.ability.fine-print,Reduce bargain taint gained from fiend contracts by 25%.
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.ability.patronage,Contract Mastery,1,3,ability,Patronage,1,75,demonologist.ability.controlled-corruption,Successful fiend contracts generate additional patron favor.
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.ability.abyssal-authority,Contract Mastery,1,4,ability,Abyssal Authority,1,80,demonologist.ability.patronage,Increase the strength of fiend-contract effects by 20%.
Demonologist,Second Promotion,Warlock,Abyssal Covenant,0,2,2,1,2,0,1,2,3,4,Dagger; Staff,Tome,Cloth,Cloth,"Demonologists bind fiendish patrons through dangerous contracts. Their bargains offer flexible harm, protection, and recovery, but every favor risks resentment and bargain taint.",demonologist.ability.contract-killer,Contract Mastery,1,5,ability,Contract Killer,2,85,demonologist.ability.abyssal-authority,Soul Gem contracts gain 25% more favor and bargain taint.
