Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.ability.transform,Panther Form,0,0,ability,Transform,1,,,Enter the persistent Panther form. Dismiss it explicitly before choosing a different unlocked form.
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.rating.predator-instinct,Panther Form,0,1,rating,+20 Attack,1,,druid.ability.transform,Permanently increase Attack by 20.
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.talent.feline-grace,Panther Form,0,2,talent,Feline Grace,1,40,druid.rating.predator-instinct,Increase Attack by 10%; Panther form remains the precision route.
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.ability.mortalstrike,Panther Form,0,3,ability,Mortal Strike,1,45,druid.talent.feline-grace,"Assault the enemy, striking them with a critical hit and placing a bleed effect that deals damage. Requires a 2-handed weapon."
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.talent.razor-ambush,Panther Form,0,4,talent,Razor Ambush,1,50,druid.ability.mortalstrike,Increase Attack by 10% and sharpen transformed opening pressure.
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.talent.apex-prowler,Panther Form,0,5,talent,Apex Prowler,1,55,druid.talent.razor-ambush,Increase Attack by 10% after mastering the Panther discipline.
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.promotion.lycan,Panther Form,0.5,7,promotion,Promote: Lycan,3,60,druid.talent.apex-prowler; druid.talent.guardian-beast,
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.ability.transform2,Direbear Form,1,0,ability,Transform,1,,,Enter the persistent Direbear form. Dismiss it explicitly before choosing a different unlocked form.
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.talent.thick-hide,Direbear Form,1,1,talent,Thick Hide,1,35,druid.ability.transform2,Increase Defense by 10%; Direbear form remains the protection route.
Druid,First Promotion,Pathfinder,,1,1,1,1,1,1,2,2,2,2,Dagger; Club; Polearm; Hammer; Staff,Tome,Cloth; Light,Cloth; Light,"Druids act as an extension of nature to call upon the elemental forces, embodying nature's wrath and mystique. This attunement with nature allows druids to emulate creatures of the animal world, transforming into persistent Panther and Direbear forms with their native traits and selected compatible skills. They lose the ability to wear medium armor and shields but gain natural weapons and armor when transformed.",druid.rating.bear-fortitude,Direbear Form,1,2,rating,+20 Defense,1,,druid.talent.thick-hide,Permanently increase Defense by 20.
