Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.iron-palm,Weapon Arts,0,0,ability,Iron Palm,1,,,A fist discipline art that disrupts the target's attack and hardens your stance as mastery grows.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.hemorrhage,Weapon Arts,0,1,ability,Hemorrhage,1,,,A dagger discipline art that opens and worsens bleeding wounds.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.riposte-line,Weapon Arts,0,2,ability,Riposte Line,1,,,A sword discipline art that strikes and prepares a brief counter line.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.low-sweep,Weapon Arts,0,3,ability,Low Sweep,1,,,A club discipline art that disrupts footing with speed pressure and prone chances.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.guard-cleaver,Weapon Arts,0,4,ability,Guard Cleaver,1,,,A longsword discipline art that cuts through and weakens guard.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.reavers-mark,Weapon Arts,0,5,ability,Reaver's Mark,1,,,A battle axe discipline art that marks a foe to take increased weapon pressure.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.brace,Weapon Arts,0,6,ability,Brace,1,,,A polearm discipline art that prepares a defensive counter stance.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.anvil-strike,Weapon Arts,0,7,ability,Anvil Strike,1,,,A hammer discipline art that crushes defense and can suppress guard at mastery.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.iron-palm-2,Weapon Arts,1,0,ability,Iron Palm 2,1,,grandmaster-of-arms.ability.iron-palm,A mastered palm strike with greater force and discipline scaling.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.hemorrhage-2,Weapon Arts,1,1,ability,Hemorrhage 2,1,,grandmaster-of-arms.ability.hemorrhage,A mastered dagger cut with greater force before it opens a deep wound.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.riposte-line-2,Weapon Arts,1,2,ability,Riposte Line 2,1,,grandmaster-of-arms.ability.riposte-line,A mastered sword counter-line with greater damage and precision.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.low-sweep-2,Weapon Arts,1,3,ability,Low Sweep 2,1,,grandmaster-of-arms.ability.low-sweep,A mastered sweep with greater impact against the target's footing.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.guard-cleaver-2,Weapon Arts,1,4,ability,Guard Cleaver 2,1,,grandmaster-of-arms.ability.guard-cleaver,A mastered longsword blow with greater force against an enemy's guard.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.reavers-mark-2,Weapon Arts,1,5,ability,Reaver's Mark 2,1,,grandmaster-of-arms.ability.reavers-mark,A mastered reaping strike that deepens the mark left on its target.
Grandmaster of Arms,Second Promotion,Weapon Master,Arsenal Mastery,2,1,0,2,0,2,5,3,0,2,Fist; Dagger; Sword; Club; Longsword; Battle Axe; Polearm; Hammer,,Light; Medium,Light; Medium,"Grandmasters of Arms are the pinnacle of weapon expertise, perfecting their chosen weapon style and wielding an adaptable arsenal with unmatched skill.",grandmaster-of-arms.ability.brace-2,Weapon Arts,1,6,ability,Brace 2,1,,grandmaster-of-arms.ability.brace,A mastered defensive brace with greater force behind its answering strike.
