Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.jump-mod.defend,Guard Mods,0,1,talent,Defend,1,35,lancer.ability.jump,Unlock the Defend Jump modification.
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.jump-mod.acrobat,Guard Mods,0,2,talent,Acrobat,1,40,lancer.jump-mod.defend,Unlock the Acrobat Jump modification.
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.talent.grounded-landing,Guard Mods,0,3,talent,Grounded Landing,1,45,lancer.jump-mod.acrobat,Increase Defense by 20% and reduce final incoming damage by 10% while Jump is charging.
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.ability.jump,Jump Core,1,0,ability,Jump,1,,,"Leap into the air and bring down your weapon onto the enemy, delivering increased damage."
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.rating.attack-1,Assault Mods,1,1,rating,+20 Attack,1,,lancer.ability.jump,Permanently increase Attack by 20.
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.rating.defense-1,Guard Mods,1,2,rating,+20 Defense,1,,lancer.ability.jump,Permanently increase Defense by 20.
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.ability.vigilant-landing,Guard Mods,1,3,ability,Vigilant Landing,2,45,lancer.rating.defense-1,Landing from Jump has a Dexterity-based chance to enter a defensive stance.
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.talent.aerial-footwork,Assault Mods,2,1,talent,Aerial Footwork,1,35,lancer.ability.jump,Increase Attack by 20% and Aerial Tempo capacity by 1.
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.jump-mod.quick-dive,Assault Mods,2,2,talent,Quick Dive,1,40,lancer.talent.aerial-footwork,Unlock the Quick Dive Jump modification.
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.jump-mod.thrust,Assault Mods,2,3,talent,Thrust,1,45,lancer.jump-mod.quick-dive,Unlock the Thrust Jump modification.
Lancer,First Promotion,Warrior,,2,0,0,2,1,1,3,3,0,2,Sword; Polearm,Shield,Medium; Heavy,Medium; Heavy,Lancers are typically more at home on the back of a horse but one benefit this affords is the skill to wield a two-handed polearm while also using a shield. They are also adept at leaping high into the air and driving that polearm into their enemies.,lancer.jump-mod.rend,Assault Mods,2,4,talent,Rend,1,50,lancer.jump-mod.thrust,Unlock the Rend Jump modification.
