Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.firebolt,Elementalism,0,0,ability,Firebolt,1,,,A mote of fire propelled at the foe.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.icelance,Elementalism,0,1,ability,Ice Lance,1,,,A javelin of ice launched at the enemy.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.shock,Elementalism,0,2,ability,Shock,1,,,An electrical arc from the caster's hands to the enemy.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.gust,Elementalism,0,3,ability,Gust,1,,,A strong gust of wind whips past the enemy.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.waterjet,Elementalism,0,4,ability,Water Jet,1,,,A jet of water erupts from beneath the enemy's feet.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.tremor,Elementalism,0,5,ability,Tremor,1,,,"The ground shakes, causing objects to fall and damage the enemy."
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.classical-force,Elementalism,0.5,6,ability,Classical Force,1,25,mage.ability.fire-inside; mage.ability.frozen-armor; mage.ability.electrified; mage.ability.wind-currents; mage.ability.refreshment; mage.ability.terra-firma,"Specialize School Affinity in elemental magic. Arcane spell damage, control, barriers, and enhancements operate at 75% potency."
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.fire-inside,Elementalism,1,0,ability,Fire Inside,1,20,mage.ability.firebolt,Fire spells have a 20% chance to grant +25% critical chance to the next attack. The charge expires after 3 turns and is consumed by the next attack regardless of its result.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.frozen-armor,Elementalism,1,1,ability,Frozen Armor,1,20,mage.ability.icelance,Ice spells have a 20% chance to grant +10 Defense and 25% Ice resistance for one turn.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.electrified,Elementalism,1,2,ability,Electrified,1,20,mage.ability.shock,Electric spells have a 20% chance to electrify the caster for 3 turns; successful melee attacks against them trigger an Intelligence-scaled jolt.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.wind-currents,Elementalism,1,3,ability,Wind Currents,1,20,mage.ability.gust,Wind spells have a 20% chance to grant +3 Speed and +10% melee accuracy for 3 turns.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.refreshment,Elementalism,1,4,ability,Refreshment,1,20,mage.ability.waterjet,Water spells have a 20% chance to restore 5% of maximum HP and MP.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.terra-firma,Elementalism,1,5,ability,Terra Firma,1,20,mage.ability.tremor,Earth spells have a 20% chance to increase melee damage by 50% for 3 turns.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.promotion.sorcerer,Elementalism,1,7,promotion,Promote: Sorcerer,2,30,mage.ability.classical-force; mage.ability.arcane-tradition,
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.arcane-tradition,Arcana,1.5,6,ability,Arcane Tradition,1,25,mage.ability.mana-rupture,Specialize School Affinity in Arcane magic. Elemental spell damage operates at 75% potency and Enhancement proc chances are halved.
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.ability.magicmissile,Arcana,2,0,ability,Magic Missile,1,,,"Orbs of energy shoots forth from the caster, dealing non-elemental damage."
Mage,Base,,,0,3,1,0,1,0,0,1,3,2,Dagger; Staff,Tome,Cloth,Cloth,"Mages possess exceptional aptitude for spell casting, able to destroy an enemy with the wave of a finger. Weaker and more vulnerable than any other class, they more than make up for it with powerful magics.",mage.talent.arcane-fundamentals,Arcana,2,1,talent,Guidance Upgrade,1,5,mage.ability.magicmissile,Increase Magic Missile projectile critical-strike damage by 20%.
