Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.smokescreen,Utility,0,0,ability,Smoke Screen,1,,,"Create a cloud of smoke, enabling escape. Requires a Smoke Bomb to use."
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.mug,Utility,0,1,ability,Mug,1,65,ninja.ability.smokescreen,Attack the enemy with a chance to steal their items.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.findtraps,Utility,0,2,ability,Find Traps,1,70,ninja.ability.mug,Passive: Warns before entering some adjacent armed traps.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.smashandgrab,Utility,0,4,ability,Smash and Grab,2,80,ninja.ability.findtraps,Passive: Mug strikes three times and may stun after two hits.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.triplestrike,Combat,1,0,ability,Triple Strike,1,,,Strike the enemy three times in quick succession.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.momentum,Combat,1,1,ability,Momentum,1,65,ninja.ability.triplestrike,Death Mark setup: attack with both weapons and turn a clean sequence into a combined finisher.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.markedshuriken,Combat,1,2,ability,Marked Shuriken,1,70,ninja.ability.momentum,Death Mark Setup: throw a concealed blade that may Blind the target.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.flurryblades,Combat,1,3,ability,Flurry of Blades,1,75,ninja.ability.markedshuriken,Launch progressively less accurate main-hand attacks until one misses.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.executionrhythm,Combat,1,4,ability,Execution Rhythm,1,80,ninja.ability.flurryblades,Passive: Marked finishers refund 10% of their MP cost per mark.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.thousandcuts,Combat,1,5,ability,Thousand Cuts,2,85,ninja.ability.executionrhythm,Death Mark Finisher: spend all marks to sharpen five rapid blade strikes.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.toxicprecision,Toxin / Death,2,0,ability,Toxic Precision,1,,,Passive: Coated weapons gain 10% critical chance.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.lingeringvenom,Toxin / Death,2,1,ability,Lingering Venom,1,65,ninja.ability.toxicprecision,Passive: Improves toxin potency and ordinary reaction duration.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.deathsentence,Toxin / Death,2,2,ability,Death Sentence,1,70,ninja.ability.lingeringvenom,"Death Mark Finisher: strike once, then test Death resistance for execution."
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.coatingconservation,Toxin / Death,2,3,ability,Coating Conservation,1,75,ninja.ability.deathsentence,Passive: Poison immunity no longer consumes a coating.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.potentiation,Toxin / Death,2,4,ability,Potentiation,1,80,ninja.ability.coatingconservation,Passive: Noncritical toxin reactions can become severe.
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.blacklotusmastery,Toxin / Death,2,5,ability,Black Lotus Mastery,2,85,ninja.ability.potentiation,"Passive: Perfects toxin severity, potency, and coating retention."
Ninja,Second Promotion,Assassin,Blade of Fatalities,0,0,2,0,2,3,4,1,1,4,Fist; Dagger; Ninja Blade,Fist; Dagger; Ninja Blade,Light,Light,"Since a Ninja desires quickness, they are very specific about the items they use. Ninjas are not allowed to wear most types of armor and other items. However, having access to special weapons that only they can use, Ninjas possess the skills of Critically hitting and Backstabbing their opponents, along with moderate thieving skills.",ninja.ability.haste,Stealth,3,0,ability,Haste,1,,,"Bend the pace of battle around yourself, greatly increasing speed."
