Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.ability.supplication,Prayer,0,0,ability,Supplication,1,,,"Spend all Prayer to heal, shield, and possibly cleanse a living target."
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.talent.deliberate-prayer,Prayer,0,1,talent,Deliberate Prayer,1,35,priest.ability.supplication,A qualifying direct support action gains two Prayer instead of one.
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.ability.holy-2,Prayer,0,2,ability,Holy II,1,40,priest.talent.deliberate-prayer,"The enemy is bathed in a holy light, cleansing it of evil. There is a chance on critical hit that the target will be blinded for a duration."
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.ability.dazed-or-confused,Prayer,0,3,ability,Dazed or Confused,1,45,priest.ability.holy-2,Holy spells may stun the target for two turns or leave it confused.
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.rating.prayer-potency,Prayer,0,4,rating,+20 Magic,1,50,priest.ability.dazed-or-confused,Permanently increase Magic by 20.
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.talent.holy-disorientation,Prayer,0,5,talent,Holy Disorientation,1,55,priest.rating.prayer-potency,Dazed or Confused's Stun chance rises from 25% to 35%.
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.ability.dispel,Exorcism,1,0,ability,Dispel,1,,,"Cast an anti-magic spell on your foe, removing any positive status effects."
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.ability.expel-curse,Exorcism,1,1,ability,Expel Curse,1,35,priest.ability.dispel,Remove all persistent curses from the target.
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.rating.exorcists-ward,Exorcism,1,2,rating,+20 Magic Defense,1,40,priest.ability.expel-curse,Permanently increase Magic Defense by 20.
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.ability.berserk,Exorcism,1,3,ability,Berserk,1,45,priest.rating.exorcists-ward,"Enrage the enemy, increasing damage but lowering accuracy and making them only attack."
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.talent.fervent-supplication,Exorcism,1,5,talent,Fervent Supplication,1,55,priest.ability.berserk,Supplication's healing increases by 15%.
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.promotion.archbishop,Prayer,1.5,7,promotion,Promote: Archbishop,3,60,priest.talent.holy-disorientation; priest.talent.fervent-supplication; priest.talent.arcane-renewal; priest.talent.merciful-prayer,
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.ability.defensive-regen,Grace,2,0,ability,Defensive Regen,1,,,You recover best when holding a defensive line; Regen is increased when defending.
Priest,First Promotion,Healer,,0,2,3,0,1,0,0,2,3,3,Club; Staff,Tome,Cloth,Cloth,"A priest channels the holy light through prayer, accessing powerful regenerative and cleansing spells. While they can only equip cloth armor, they gain the ability to increase their defense at the expense of mana.",priest.ability.regen-2,Grace,2,1,ability,Regen II,1,35,priest.ability.defensive-regen,"Cooling waters stimulate your natural healing ability, regenerating health over time."
