Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.ability.finders-keepers,Loaded Odds,0,0,ability,Finders Keepers,1,,,Occasionally finds extra eligible loot after ordinary defeated enemies.
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.talent.stacked-odds,Loaded Odds,0,1,talent,Stacked Odds,1,65,rogue.ability.finders-keepers,Fortune grants 2.5 additional accuracy points per spent stack.
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.ability.slot-machine,Loaded Odds,0,2,ability,Slot Machine,1,70,rogue.talent.stacked-odds,"Pull the handle and see what comes up! Depending on the results, different possible outcomes can occur."
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.talent.rigged-reels,Loaded Odds,0,3,talent,Rigged Reels,1,75,rogue.ability.slot-machine,Slot Machine treats Misfortune as 25% stronger when scaling a winning result.
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.ability.triple-strike,Loaded Odds,0,4,ability,Triple Strike,1,80,rogue.talent.rigged-reels,Strike the enemy three times in quick succession.
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.ability.all-in,Loaded Odds,0,5,ability,All In,2,85,rogue.ability.triple-strike,"Spend all Fortune and Misfortune on one accurate, amplified strike."
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.talent.house-always-wins,Loaded Odds,0,6,talent,The House Always Wins,1,90,rogue.ability.all-in,A successful All In preserves one Fortune when any Fortune was spent.
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.ability.sneak-attack,Comebacks,1,0,ability,Sneak Attack,1,,,"Death Mark Setup: if the target is incapacitated, unleash a devastating attack."
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.talent.cruel-reversal,Comebacks,1,1,talent,Cruel Reversal,1,65,rogue.ability.sneak-attack,Misfortune damage and severity scaling increases by 2 percentage points per stack.
Rogue,Second Promotion,Thief,Stroke of Luck,0,1,0,1,2,3,3,2,2,3,Fist; Dagger; Sword; Club,Fist; Dagger; Sword; Club,Light,Light,"Rogues rely on skill, stealth, and their foes' vulnerabilities to get the upper hand in any situation. They have a knack for finding the solution to just about any problem, demonstrating a resourcefulness and versatility that has no rival. They gain the ability to dual wield swords, maces, and fist weapons.",rogue.ability.zephyrstrike,Comebacks,1,2,ability,Zephyrstrike,1,70,rogue.talent.cruel-reversal,You strike with the timing of a sudden gale.
