Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.mana-tap,Umbral Debt,0,0,ability,Mana Tap,1,,,Convert a portion of your mana into health.
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.soul-binding,Umbral Debt,0,1,ability,Soul Binding,1,65,shadowcaster.ability.mana-tap,Link two souls so damage suffered by either is shared by both.
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.health-mana-drain,Umbral Debt,0,2,ability,Health/Mana Drain,1,70,shadowcaster.ability.soul-binding,"Drain the enemy, absorbing the health and mana in return."
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.resource-abuse,Umbral Debt,0,3,ability,Resource Abuse,1,75,shadowcaster.ability.health-mana-drain,Double Mana Tap's effect and redirect overhealing to the next Shadow damage spell.
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.mortal-shackles,Umbral Debt,0,4,ability,Mortal Shackles,1,80,shadowcaster.ability.resource-abuse,Soul Binding makes the target take 25% more damage and reduces damage shared to the caster.
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.top-off,Umbral Debt,0,5,ability,Top Off,2,85,shadowcaster.ability.mortal-shackles,Health/Mana Drain consumes all Umbral Debt to refill both pools or completely drain the target; Death-immune targets increase its effect by 50%.
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.shadow-bolt-3,Deep Shadow,1,0,ability,Shadow Bolt III,1,,,"Launch a bolt of magic infused with dark energy, damaging the enemy."
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.penny-dreadful,Deep Shadow,1,2,ability,Penny Dreadful,1,70,shadowcaster.ability.shadow-bolt-3,Feared targets take increased Shadow damage.
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.piercing-bolt,Deep Shadow,1,3,ability,Piercing Bolt,1,75,shadowcaster.ability.penny-dreadful,Shadow Bolt bypasses half of resistance and increases the effect of weakness by 50%.
Shadowcaster,Second Promotion,Warlock,Shade of Ahool,0,3,2,1,0,1,1,1,5,3,Dagger; Staff,Tome,Cloth,Cloth,"The Shadowcaster is highly attuned to the dark arts and can conjure the most demonic of powers, including the practicing of forbidden blood magic.",shadowcaster.ability.invisibility,Veilcraft,2,0,ability,Invisibility,1,,,Fade from sight for surprise and defense.
