Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.hydration,Totems,0,0,ability,Hydration,1,,,"Bath yourself in restorative waters, healing for an initial amount then more over time."
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.resonant-ward,Totems,0,1,ability,Resonant Ward,1,35,shaman.ability.hydration,Spend all Totem Resonance to raise Defense and Magic Defense for three turns.
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.spirit-mend,Totems,0,2,ability,Spirit Mend,1,40,shaman.ability.resonant-ward,"Restore health, with stronger healing while Spirit Animal is active."
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.totem-surge,Totems,0,5,ability,Totem Surge,1,55,shaman.ability.spirit-mend,Spend Totem Resonance to force the active Totem pulse.
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.elemental-strike,Elements,1,0,ability,Elemental Strike,1,,,Attack the enemy with your weapon and a random elemental spell.
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.resist-fire,Elements,1,1,ability,Resist Fire,1,35,shaman.ability.elemental-strike,Raise Fire resistance for several turns.
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.resist-water,Elements,1,2,ability,Resist Water,1,40,shaman.ability.resist-fire,Raise Water resistance for several turns.
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.resist-earth,Elements,1,3,ability,Resist Earth,1,45,shaman.ability.resist-water,Raise Earth resistance for several turns.
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.resist-wind,Elements,1,4,ability,Resist Wind,1,50,shaman.ability.resist-earth,Raise Wind resistance for several turns.
Shaman,First Promotion,Pathfinder,,1,0,1,1,1,2,3,1,2,2,Fist; Dagger; Club; Staff,Fist; Shield,Light; Medium,Light; Medium,"The Shaman is a master of the natural elements, channeling the raw forces of fire, water, earth, and air to devastate their enemies. By imbuing weapons with elemental fury, they transform mundane strikes into catastrophic blows. As warriors of nature, they bring balance to the battlefield, wielding power both destructive and enhancing.",shaman.ability.astral-shift,Elements,1,5,ability,Astral Shift,1,55,shaman.ability.resist-wind,"Partially shift into the astral plane, reducing physical and magical damage by 25%."
