Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.ability.steal-spell,Spell Theft,0,0,ability,Steal Spell,1,,,Inscribes one of the target's spells onto a Blank Scroll.
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.talent.arcane-ledger,Spell Theft,0,1,talent,Arcane Ledger,2,35,spell-stealer.ability.steal-spell,Reduce Steal Spell's MP cost by two.
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.ability.wind-speed,Spell Theft,0,2,ability,Wind Speed,1,40,spell-stealer.talent.arcane-ledger,"The power of the wind is at the user's back, increasing dodge chance and increases chance to flee in battle."
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.talent.counterfeit-casting,Spell Theft,0,3,talent,Counterfeit Casting,2,45,spell-stealer.ability.wind-speed,Casting an inscribed stolen-spell scroll gains two Stolen Charge instead of one.
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.ability.silence,Spell Theft,0,4,ability,Silence,1,50,spell-stealer.talent.counterfeit-casting,"Tongue-tie the enemy's brain, making spell casting impossible."
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.talent.perfect-forgery,Spell Theft,0,5,talent,Perfect Forgery,2,55,spell-stealer.ability.silence,Successful Steal Spell attempts have a 25% chance to preserve the Blank Scroll.
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.promotion.arcane-trickster,Spell Theft,0.5,7,promotion,Promote: Arcane Trickster,3,60,spell-stealer.talent.perfect-forgery; spell-stealer.talent.controlled-discharge,
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.ability.imbue-weapon,Stolen Charge,1,0,ability,Imbue Weapon,1,,,Channel magical energy into your weapon to enhance its damage.
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.ability.spellbreakers-cut,Stolen Charge,1,1,ability,Spellbreaker's Cut,1,35,spell-stealer.ability.imbue-weapon,Strike for 95% weapon damage and reduce the target's Magic Defense.
Spell Stealer,First Promotion,Footpad,,0,2,1,0,1,2,1,1,4,2,Dagger; Sword,Dagger; Tome,Cloth; Light,Cloth; Light,"The Spell Stealer is an elite evolution of the Footpad, blending agility and cunning with mystical talent. Masters of magical deception, they can cast a variety of spells while uniquely able to steal magic from enemies. Spells directed at them may be absorbed or reflected back at their casters. Their versatility allows them to adapt to both offensive and defensive situations, disrupting foes' strategies while empowering themselves with stolen magic.",spell-stealer.ability.steal-as-well,Stolen Charge,1,2,ability,Steal As Well,1,40,spell-stealer.ability.spellbreakers-cut,Cast an attack spell and attempt to steal after it lands.
