Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.counter-charge,Weapon Enhancements,0,1,ability,Counter Charge,1,,,"When a spell damages you in combat, gain an Arcane or Elemental blade charge matching its category."
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.rating.attack,Weapon Enhancements,0,2,rating,+20 Attack,1,35,spellblade.ability.counter-charge,Permanently increase Attack by 20.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.breakdown,Weapon Enhancements,0,3,ability,Breakdown,1,40,spellblade.rating.attack,"Each melee hit lowers that target's Magic Defense by 4, up to five stacks. The next damaging spell benefits and clears the stacks."
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.mana-slice,Weapon Enhancements,0,4,ability,Mana Slice,1,45,spellblade.ability.breakdown,A mana-infused strike that drains the target's mana.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.enhance-blade,Weapon Enhancements,0,5,ability,Enhance Blade,1,50,spellblade.ability.mana-slice,"Your blade thrums with arcane energy, amplifying its strength in proportion to your mana reserves. With each strike, you channel your magic into raw power, adding bonus damage equal to your weapon's base damage multiplied by your mana percentage."
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.reflect,Armor Enhancements,1,1,ability,Reflect,1,,,"A magical shield surrounds the user, reflecting incoming spells back at the caster."
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.rating.magic-defense,Armor Enhancements,1,2,rating,+20 Magic Defense,1,35,spellblade.ability.reflect,Permanently increase Magic Defense by 20.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.novel-shielding,Armor Enhancements,1,3,ability,Novel Shielding,1,40,spellblade.rating.magic-defense,Create a three-turn shield with strength equal to twice the power of the equipped Tome.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.rating.defense,Armor Enhancements,1,4,rating,+20 Defense,1,45,spellblade.ability.novel-shielding,Permanently increase Defense by 20.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.enhance-armor,Armor Enhancements,1,6,ability,Enhance Armor,1,55,spellblade.rating.defense,"Your armor adapts to your dwindling arcane reserves, fortifying itself as your mana depletes. The less mana you have, the greater your ' defense rating becomes. This protective enchantment ensures you can endure even when your magic is nearly exhausted."
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.amplify-arcane,Spell Enhancements,1.5,5,ability,Amplify Arcane,1,50,spellblade.ability.mana-tap,Arcane blade charges release at double power.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.promotion.knight-enchanter,Weapon Enhancements,1.5,7,promotion,Promote: Knight Enchanter,3,60,spellblade.ability.enhance-blade; spellblade.ability.enhance-armor; spellblade.ability.storage-capacity,
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.boost,Spell Enhancements,2,1,ability,Boost,1,,,"Supercharge the magic capabilities of the target, increasing magic damage."
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.kinetic-explosion,Spell Enhancements,2,2,ability,Kinetic Explosion,1,35,spellblade.ability.boost,Send forth a concussive orb that explodes across the enemy ranks.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.rating.magic,Spell Enhancements,2,3,rating,+20 Magic,1,40,spellblade.ability.kinetic-explosion,Permanently increase Magic by 20.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.mana-tap,Spell Enhancements,2,4,ability,Mana Tap,1,45,spellblade.rating.magic,Convert a portion of your mana into health.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.storage-capacity,Spell Enhancements,2,6,ability,Storage Capacity,1,55,spellblade.ability.amplify-arcane; spellblade.ability.amplify-elemental,Store one additional Arcane charge and one additional Elemental charge.
Spellblade,First Promotion,Mage,,2,1,0,2,1,0,3,1,2,2,Dagger; Sword,Tome,Cloth; Light,Cloth; Light,"The Spellblade combines a magical affinity with a higher level of martial prowess from the other magical classes. While they no longer gain many of the same arcane spells, the spellblade has unlocked the ability to channel the learned magical power through their blade to devastate enemies.",spellblade.ability.amplify-elemental,Spell Enhancements,2.5,5,ability,Amplify Elemental,1,50,spellblade.ability.mana-tap,Elemental blade charges release at double power.
