Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.relic-aegis,Relic Discipline,0,0,ability,Relic Aegis,1,,,Spend all Devotion for stronger shielded protection and a Holy counter.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.talent.reinforced-relic,Relic Discipline,0,1,talent,Reinforced Relic,2,65,templar.ability.relic-aegis,Increase Relic Aegis shielding and Holy counter damage by 25%.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.shield-block,Relic Discipline,0,2,ability,Shield Block,1,70,templar.talent.reinforced-relic,"You are much more proficient with a shield than most, increasing the amount of damage blocked."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.talent.enduring-aegis,Relic Discipline,0,3,talent,Enduring Aegis,1,75,templar.ability.shield-block,Relic Aegis and its Holy counter last one additional turn.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.last-stand,Relic Discipline,0,4,ability,Last Stand,1,80,templar.talent.enduring-aegis,Increase defense and block strength at the expense of attack power.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.talent.last-line,Relic Discipline,0,5,talent,Last Line,1,85,templar.ability.last-stand,Entering Last Stand grants one Devotion.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.talent.unbroken-reliquary,Relic Discipline,0,6,talent,Unbroken Reliquary,1,90,templar.talent.last-line,"Below half health, Relic Aegis is 25% stronger."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.charge,Vanguard,1,0,ability,Charge,1,,,"Charge the enemy, building momentum before stunning them and delivering a devastating weapon strike."
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.goad,Vanguard,1,1,ability,Goad,1,65,templar.ability.charge,Provoke the target into a berserking rage.
Templar,Second Promotion,Cleric,Holy Retribution,2,0,1,2,1,1,3,2,2,3,Club; Hammer,Shield,Light; Medium; Heavy,Light; Medium; Heavy,"A templar exemplifies the best of both worlds, able to heal and protect while also being able to dish out quite a bit of damage along the way. While a templar is right at home with a mace and a shield, they have also trained in the art of the 2-handed hammer.",templar.ability.shield-slam,Vanguard,1,2,ability,Shield Slam,1,70,templar.ability.goad,"Slam the enemy with your shield, damaging with a chance to stun for several turns."
