Class,Stage,Parent,Power Core Ability,Strength Bonus,Intelligence Bonus,Wisdom Bonus,Constitution Bonus,Charisma Bonus,Dexterity Bonus,Attack Bonus,Defense Bonus,Magic Bonus,Magic Defense Bonus,Weapons,Off Hands,Armor,Helmets,Class Description,Node ID,Lane,Column,Row,Kind,Name,Cost,Level,Prerequisites,Node Description
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",mage.ability.conjure-animal,Calling,0,1,ability,Conjure Animal,1,,,"Outside combat, call a local animal that fights independently for a short time."
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",conjurer.ability.conjure-humanoid,Calling,0,2,ability,Conjure Humanoid,1,,,Conjure a nearby humanoid creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",conjurer.ability.conjure-monster,Calling,0,3,ability,Conjure Monster,1,,conjurer.ability.conjure-humanoid,Conjure a nearby monster creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",conjurer.ability.conjure-spirit,Calling,0,4,ability,Conjure Spirit,1,,conjurer.ability.conjure-monster,Conjure a nearby spirit creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",conjurer.ability.conjure-fiend,Calling,0,5,ability,Conjure Fiend,1,,conjurer.ability.conjure-spirit,Conjure a nearby fiend creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",conjurer.ability.conjure-celestial,Calling,0,6,ability,Conjure Celestial,1,,conjurer.ability.conjure-fiend,Conjure a nearby celestial creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",conjurer.ability.conjure-dragon,Calling,0,7,ability,Conjure Dragon,1,,conjurer.ability.conjure-celestial,Conjure a nearby dragon creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",thaumaturgist.talent.bind-animal,Xenid Choice,1,1,talent,Bind Xenid - Animal,1,,mage.ability.conjure-animal,Permanently choose either Hodag or Caladrius as the Animal Xenid for this Calling.
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",thaumaturgist.talent.bind-humanoid,Xenid Choice,1,2,talent,Bind Xenid - Humanoid,1,,conjurer.ability.conjure-humanoid,Permanently choose either Patagon or Kobalos as the Humanoid Xenid for this Calling.
Thaumaturgist,Second Promotion,Conjurer,Eternal Conduit,0,3,3,0,4,1,0,1,5,5,Dagger; Staff,Tome,Cloth,Cloth,"The Thaumaturgist perfects seven Xenid Callings, strengthening those permanent bonds with invocations, Miracles, revival, and conduit rites.",thaumaturgist.talent.bind-monster,Xenid Choice,1,3,talent,Bind Xenid - Monster,1,,conjurer.ability.conjure-monster,Permanently choose either Dilong or Cacus as the Monster Xenid for this Calling.
