Race,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Base Attack,Base Defense,Base Magic,Base Magic Defense,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance,Virtue,Virtue Effect,Sin,Sin Effect,Description,Stage,Available Class
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Base,Warrior
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Base,Healer
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Base,Pathfinder
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",First,Weapon Master
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",First,Paladin
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",First,Sentinel
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",First,Cleric
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",First,Priest
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",First,Ranger
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Second,Berserker
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Second,Grandmaster of Arms
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Second,Crusader
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Second,Dragoon
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Second,Stalwart Defender
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Second,Templar
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Second,Hierophant
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Second,Archbishop
Dwarf,12,10,10,12,8,8,2,3,1,2,0.0,0.0,0.0,0.0,0.25,0.0,-0.3,0.0,0.25,0.1,Temperance,Combat consumables are more effective (does not affect permanent stat potions).,Gluttony,Overindulgence brings a hangover: using combat consumables can hinder your next fight.,"Dwarves are short in stature only, being amongst the strongest both in body and will. They are lacking in physical agility and have a healthy mistrust of the arcane. As beings of the Earth, dwarves have resistance against earth, poison, and physical damage but are weak against shadow magic.",Second,Beast Master
