Race,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Base Attack,Base Defense,Base Magic,Base Magic Defense,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance,Virtue,Virtue Effect,Sin,Sin Effect,Description,Stage,Available Class
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Base,Mage
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Base,Footpad
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Base,Healer
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",Base,Pathfinder
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Sorcerer
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Warlock
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Spellblade
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Conjurer
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Thief
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Inquisitor
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Assassin
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Spell Stealer
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Priest
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Bard
Elf,6,12,11,8,11,12,1,1,3,3,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,-0.2,Humility,"You see through deception, suffering fewer penalties when fighting the unseen or obscured.",Pride,"Your pride resists aid, slightly reducing healing received.","Elves are the magic users of the game. They are excellent spell casters and have decent resistance to elemental magic. They are not, however, very good at fighting with weapons and have low constitution, making them more susceptible to physical damage.",First,Druid
