Race,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Base Attack,Base Defense,Base Magic,Base Magic Defense,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance,Virtue,Virtue Effect,Sin,Sin Effect,Description,Stage,Available Class
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",Base,Warrior
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",Base,Mage
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",Base,Footpad
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",Base,Healer
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",First,Weapon Master
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",First,Paladin
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",First,Sorcerer
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",First,Warlock
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",First,Spellblade
Gnome,8,10,12,8,12,10,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,Charity,Your charm opens purses; charisma has a stronger effect on gold outcomes.,Greed,"When you carry too much, the penalties of encumbrance are harsher.","Gnomes are very charismatic, giving them a distinct advantage in money making, vendor relations, and are especially lucky. They are also above average spell caster with a slight affinity toward the divine, giving them a slight resistance to holy spells. Gnomes prefer the civilized world and thus are not found among the ranks of Pathfinders.",First,Conjurer
