Race,Strength,Intelligence,Wisdom,Constitution,Charisma,Dexterity,Base Attack,Base Defense,Base Magic,Base Magic Defense,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance,Virtue,Virtue Effect,Sin,Sin Effect,Description,Stage,Available Class
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",Base,Warrior
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",Base,Mage
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",Base,Footpad
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",Base,Pathfinder
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",First,Weapon Master
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",First,Lancer
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",First,Sentinel
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",First,Sorcerer
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",First,Warlock
Half Orc,12,10,8,11,8,11,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.0,Patience,"You endure the worst blows, taking reduced damage from critical hits.",Wrath,"Pain can trigger Blind Rage: you keep control, but your aim suffers briefly.","Half orcs are the result of interbreeding between humans and orcs, which while rare does occur. While not a strong as their fullblood brethren, half orcs are much stronger on average than humans. However the stigma related to half orcs makes them far less charismatic, while there inherit bloodlust makes any pursuit of the divine unappealing.",First,Spellblade
