Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Aboleth,Aboleth,Slime,5,,False,False,235,525,170,170,650,1230,25,25,50,50,50,50,25,25,12,12,10,10,32,32,40,40,65,65,300,300,5,Boost; Disease Breath; Enfeeble,Acid Spit,,,Poison,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.5,-0.5
Archvile,Archvile,Fiend,5; 6,,False,False,398,498,231,231,1010,1280,32,32,31,31,35,35,38,38,28,28,32,32,72,72,53,53,52,52,58,58,5,Corruption; Firestorm; Regen; Sleep; Terrify,Parry,Weapon: Battle Gauntlet; Armor: Demon Armor; OffHand: Battle Gauntlet,,Death; Poison,1.0,0.5,0.5,0.0,0.0,0.0,0.25,-0.25,1.0,0.0
Basilisk,Basilisk,Monster,5,,False,False,247,352,146,146,930,1200,29,29,26,26,30,30,27,27,17,17,20,20,49,49,46,46,51,51,66,66,5,Petrify; Poison Breath,Bad Breath; Slam,Weapon: Snake Fang; Armor: Snake Scales; OffHand: Snake Fang,Lizard Venom,Death; Poison; Stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
Behemoth,Behemoth,Aberration,5; 6,,False,False,230,330,125,125,920,1250,38,38,25,25,20,20,30,30,18,18,25,25,58,58,51,51,57,57,53,53,5,Berserk; Holy; Regen,Counterspell; True Strike,Weapon: Lion Paw; Armor: Animal Hide; OffHand: Lion Paw,,Death; Stone,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.5
Beholder,Beholder,Aberration,5; 6,,False,False,178,328,140,140,800,1200,25,25,40,40,35,35,28,28,20,20,20,20,47,47,45,45,60,60,55,55,5,Disintegrate; Dispel; Magic Missile; Terrify,Mana Drain,Weapon: Gaze,,Death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brain Gorger,BrainGorger,Aberration,5; 6,,False,False,341,451,290,290,1050,1310,27,27,40,40,35,35,31,31,25,25,36,36,62,62,47,47,70,70,67,67,5,Terrify; Weaken Mind,Brain Gorge; Mana Shield,Weapon: Claw; OffHand: Claw,,Poison,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0
Displacer Beast,DisplacerBeast,Fey,4; 5,,False,False,104,139,111,111,500,775,24,24,11,11,14,14,24,24,14,14,26,26,32,32,30,30,29,29,31,31,4,,Double Strike; Smoke Screen,Weapon: Claw; Armor: Animal Hide; OffHand: Tentacle,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
Earth Myrmidon,EarthMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Tremor,Goad; Shield Block; Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,0.0,0.0,0.0,0.0,1.5,-0.5,0.0,0.0,1,0.25
Fire Myrmidon,FireMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Scorch,Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,1.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25
Hydra,Hydra,Monster,5,,False,False,288,403,180,180,900,1150,37,37,30,30,26,26,28,28,24,24,22,22,60,60,51,51,52,52,53,53,5,Tsunami,Double Strike; Dragon Breath (Water),Weapon: Bite; Armor: Dragon Scales; OffHand: Dragon Tail,,Death; Stone,0.0,0.0,-1,1.5,0.0,0.0,0.0,0.0,0.75,0.25
Ice Myrmidon,IceMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Ice Lance,Shield Slam; True Strike,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,-0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25
Lich,Lich,Undead,5; 6,,False,False,230,320,155,155,880,1220,25,25,35,35,40,40,20,20,36,36,22,22,44,44,42,42,63,63,70,70,5,Blizzard; Boost; Desoul; Ice Block; Terrify,Health/Mana Drain,Weapon: touches; Armor: Wizard's Robe; OffHand: Necronomicon,Phylactery,Death,-0.25,0.9,0.0,0.0,0.0,0.0,0.5,-0.75,0.5,0.0
