Name,Class ID,Type,Subtype,Value,Rarity,Weight,Damage,Critical Chance,Hands,Offhand Eligible,Armor,Modifier,Element,Restricted To,Restricted Against,Ultimate,Random Drop,Unequipped,Description
Animal Hide,AnimalHide,Armor,Natural,0,0,0,,,,,4,0,,,,False,True,False,
Animal Hide,AnimalHide2,Armor,Natural,0,0,0,,,,,12,0,,,,False,True,False,
Carapace,Carapace,Armor,Natural,0,0,0,,,,,6,0,,,,False,True,False,
Cerberus Hide,CerberusHide,Armor,Natural,0,0,0,,,,,36,0,,,,False,True,False,
Demon Armor,DemonArmor,Armor,Natural,0,0,0,,,,,8,0,,,,False,True,False,
Demon Armor,DemonArmor2,Armor,Natural,0,0,0,,,,,20,0,,,,False,True,False,
Devil Skin,DevilSkin,Armor,Natural,0,0,0,100,,,,80,0,,,,False,True,False,
Dragon Scales,DragonScale,Armor,Natural,0,0,0,,,,,12,0,,,,False,True,False,
Metal Plating,MetalPlating,Armor,Natural,0,0,0,,,,,10,0,,,,False,True,False,
Snake Scales,SnakeScales,Armor,Natural,0,0,0,,,,,6,0,,,,False,True,False,
Snake Scales,SnakeScales2,Armor,Natural,0,0,0,,,,,6,0,,,,False,True,False,
Stone Armor,StoneArmor,Armor,Natural,0,0,0,,,,,8,0,,,,False,True,False,
Stone Armor,StoneArmor2,Armor,Natural,0,0,0,,,,,18,0,,,,False,True,False,
Alligator Tail,AlligatorTail,Weapon,Natural,0,0,0,24,0.1,1,False,,0,,,,False,True,False,
Bear Claw,BearClaw,Weapon,Natural,0,0,0,24,0.2,1,True,,0,,,,False,True,False,
Bite,Bite,Weapon,Natural,0,0,0,6,0.05,1,False,,0,,,,False,True,False,
Bite,Bite2,Weapon,Natural,0,0,0,30,0.2,1,False,,0,,,,False,True,False,
Bite,VampireBite,Weapon,Natural,0,0,0,20,0.15,1,False,,0,,,,False,True,False,
Claw,Claw,Weapon,Natural,0,0,0,8,0.2,1,True,,0,,,,False,True,False,
Claw,Claw2,Weapon,Natural,0,0,0,20,0.25,1,True,,0,,,,False,True,False,
Claw,Claw3,Weapon,Natural,0,0,0,36,0.33,1,True,,0,,,,False,True,False,
Demon Claw,DemonClaw,Weapon,Natural,0,0,0,10,0.25,1,True,,0,,,,False,True,False,
Demon Claw,DemonClaw2,Weapon,Natural,0,0,0,30,0.33,1,True,,0,,,,False,True,False,
Dragon Claw,DragonClaw,Weapon,Natural,0,0,0,28,0.2,1,True,,0,,,,False,True,False,
Dragon Claw,DragonClaw2,Weapon,Natural,0,0,0,70,0.33,1,True,,0,,,,False,True,False,
Dragon Tail,DragonTail,Weapon,Natural,0,0,0,40,0.15,1,True,,0,,,,False,True,False,
Dragon Tail,DragonTail2,Weapon,Natural,0,0,0,90,0.3,1,True,,0,,,,False,True,False,
Earth Maw,EarthMaw,Weapon,Natural,0,0,0,60,0.2,1,False,,0,Earth,,,False,True,False,
Elemental Blade,ElementalBlade,Weapon,Natural,0,0,0,30,0.25,1,True,,0,,,,False,True,False,
Gaze,Gaze,Weapon,Natural,0,0,0,0,0,1,False,,0,,,,False,True,False,
Ice Shard,IceShard,Weapon,Natural,0,0,0,30,0.33,1,False,,0,Ice,,,False,True,False,
Invisible Blade,InvisibleBlade,Weapon,Natural,0,0,0,18,0.25,1,True,,0,Shadow,,,False,True,False,
Laser,Laser,Weapon,Natural,0,0,0,40,0.25,1,True,,0,,,,False,True,False,
Laser,Laser2,Weapon,Natural,0,0,0,70,0.4,1,True,,0,,,,False,True,False,
Lion Paw,LionPaw,Weapon,Natural,0,0,0,34,0.15,1,True,,0,,,,False,True,False,
Nightmare Hoof,NightmareHoof,Weapon,Natural,0,0,0,26,0.25,1,True,,0,Fire,,,False,True,False,
Pincers,Pincers,Weapon,Natural,0,0,0,8,0.15,1,True,,0,,,,False,True,False,
Pincers,Pincers2,Weapon,Natural,0,0,0,12,0.2,1,True,,0,,,,False,True,False,
Snake Fang,SnakeFang,Weapon,Natural,0,0,0,10,0.25,1,False,,0,,,,False,True,False,
Snake Fang,SnakeFang2,Weapon,Natural,0,0,0,32,0.33,1,False,,0,,,,False,True,False,
Stinger,Stinger,Weapon,Natural,0,0,0,10,0.25,1,False,,0,,,,False,True,False,
Tentacle,Tentacle,Weapon,Natural,0,0,0,24,0.2,1,True,,0,,,,False,True,False,"A slender, flexible limb or appendage in an animal, especially around the mouth of an invertebrate, used for grasping or moving about, or bearing sense organs."
Tentacle,Tentacle2,Weapon,Natural,0,0,0,48,0.3,1,True,,0,,,,False,True,False,"A slender, flexible limb or appendage in an animal, especially around the mouth of an invertebrate, used for grasping or moving about, or bearing sense organs."
Unicorn Horn,UnicornHorn,Weapon,Natural,0,0,0,28,0.2,1,True,,0,Holy,,,False,True,False,
attacks,Cannon,Weapon,Natural,0,0,0,80,0.15,1,True,,0,,,,False,True,False,
attacks,DevilBlade,Weapon,Natural,0,0,0,100,0.33,1,True,,0,,,,False,True,False,
bites,CerberusBite,Weapon,Natural,0,0,0,60,0.25,1,False,,0,Fire,,,False,True,False,
claws,CerberusClaw,Weapon,Natural,0,0,0,40,0.25,1,True,,0,,,,False,True,False,
touches,LichHand,Weapon,Natural,0,0,0,35,0.2,1,True,,0,Ice,,,False,True,False,
