Name,Class ID,Type,Subtype,Value,Rarity,Weight,Damage,Critical Chance,Hands,Offhand Eligible,Armor,Modifier,Element,Restricted To,Restricted Against,Ultimate,Random Drop,Unequipped,Description
No Pendant,NoPendant,Accessory,None,0,0,0,,,,,,No Mod,,,,False,True,True,No pendant equipped.
No Ring,NoRing,Accessory,None,0,0,0,,,,,,No Mod,,,,False,True,True,No ring equipped.
Antidote Pendant,AntidotePendant,Accessory,Pendant,2500,0.85,0.2,,,,,,Status-Poison,,,,False,True,False,Protects the wearer against the effects of poison.
Calming Pendant,CalmingPendant,Accessory,Pendant,5000,0.7,0.2,,,,,,Status-Berserk,,,,False,True,False,Protects the wearer against the effects of berserk.
Dharma Pendant,DharmaPendant,Accessory,Pendant,25000,0.25,0.2,,,,,,Status-Death,,,,False,True,False,"No need to fear the reaper while wearing this amulet, giving the wearer immunity against instant death."
Diamond Locket,DiamondLocket,Accessory,Pendant,55000,0.1,0.2,,,,,,+50 Magic Defense,,,,False,True,False,A diamond necklace that massively improves the wearer's magic damage.
Draconite Pendant,DraconitePendant,Accessory,Pendant,0,0,0.1,,,,,,Jump Recover+,,,,False,True,False,"A pendant cut from Kaelenon's Draconite. It strengthens the Recover Jump modification, restoring more health and mana when the wearer lands."
Earth Amulet,EarthAmulet,Accessory,Pendant,40000,0.2,0.2,,,,,,Immune-Earth,,,,False,True,False,An amulet with a dense green gem veined like ancient bedrock.
Earth Chain,EarthChain,Accessory,Pendant,8000,0.6,0.2,,,,,,Resist-Earth,,,,False,True,False,"A necklace carved from polished stone, heavy with the patience of deep caverns."
Electric Amulet,ElectricAmulet,Accessory,Pendant,40000,0.2,0.2,,,,,,Immune-Electric,,,,False,True,False,An amulet with a storm-bright gem that clicks with tiny sparks.
Electric Chain,ElectricChain,Accessory,Pendant,8000,0.6,0.2,,,,,,Resist-Electric,,,,False,True,False,A necklace strung with storm glass that hums softly before lightning strikes.
Element Amulet,ElementAmulet,Accessory,Pendant,40000,0.2,0.2,,,,,,None,,,,False,True,False,"Base class for the various element amulets, each shaped around a concentrated warding jewel."
Element Chain,ElementChain,Accessory,Pendant,8000,0.6,0.2,,,,,,None,,,,False,True,False,"Base class for the various element chains, each forged around a focused elemental core."
