Name,Class ID,Type,Subtype,Value,Rarity,Weight,Damage,Critical Chance,Hands,Offhand Eligible,Armor,Modifier,Element,Restricted To,Restricted Against,Ultimate,Random Drop,Unequipped,Description
Dragon's Tear,DragonTear,Misc,Ability,0,0.01,0,,,,,,0,,,,False,True,False,A crystallized tear shed by a dragon. Said to contain the essence of draconic vitality and regeneration. Extremely rare.
Throwing Daggers,ThrowingDaggers,Misc,Ammunition,1000,0.7,0,,,,,,0,,,,False,False,False,A pack used by Hidden Blade. Daggers remaining: 10.
Armor Piercing Bolts,ArmorPiercingBolts,Misc,Crossbow Bolts,1200,0.6,0,,,,,,0,,,,False,False,False,Hardened bolts that ignore armor. Bolts remaining: 10.
Delayed Bolts,DelayedBolts,Misc,Crossbow Bolts,32000,0.1,0,,,,,,0,,,,False,False,False,Bolts that explode one turn after attaching. Bolts remaining: 10.
Heat-Seeking Bolts,HeatSeekingBolts,Misc,Crossbow Bolts,6000,0.4,0,,,,,,0,,,,False,False,False,Bolts that curve toward warm targets. Bolts remaining: 10.
Magic Bolts,MagicBolts,Misc,Crossbow Bolts,2500,0.5,0,,,,,,0,,,,False,False,False,Arcane ammunition for a Magic Crossbow. Bolts remaining: 10.
Metal Bolts,MetalBolts,Misc,Crossbow Bolts,600,0.7,0,,,,,,0,,,,False,False,False,Durable ammunition with a high recovery chance. Bolts remaining: 10.
Napalm Bolts,NapalmBolts,Misc,Crossbow Bolts,15000,0.2,0,,,,,,0,,,,False,False,False,Explosive bolts that spread burning material. Bolts remaining: 10.
Wooden Bolts,WoodenBolts,Misc,Crossbow Bolts,250,0.75,0,,,,,,0,,,,False,False,False,Fragile wooden crossbow ammunition. Bolts remaining: 10.
Cryptic Key,CrypticKey,Misc,Key,0,0,0,,,,,,0,,,,False,True,False,"A pristine key forged by Griswold. Its purpose is shrouded in mystery, but it feels important."
Key,Key,Misc,Key,500,0.9,0,,,,,,0,,,,False,True,False,Unlocks a locked chest but is consumed.
Master Key,MasterKey,Misc,Key,0,0,0,,,,,,0,,,,False,True,False,Unlocks doors that may lead to either valuable treasure or to powerful enemies.
Old Key,OldKey,Misc,Key,50000,0.5,0,,,,,,0,,,,False,True,False,Unlocks doors that may lead to either valuable treasure or to powerful enemies.
Censer of Choking Ash,CenserOfChokingAsh,Misc,Magic Tool,5000,0.35,0,,,,,,0,,,,False,True,False,A reusable censer that blankets the surrounding area in choking smoke. Required to cast Obscuration.
Oculus,Oculus,Misc,Magic Tool,35000,0.25,0,,,,,,0,,,,False,True,False,An expensive arcane lens that reveals the telltale shimmer of fake walls.
Bird Fat,BirdFat,Misc,Quest,0,0.1,0,,,,,,0,,,,False,True,False,"The fat from a bird, used as a fuel for lamps."
Cursed Hops,CursedHops,Misc,Quest,0,1,0,,,,,,0,,,,False,True,False,"Hops from a cursed tree, these flower are used primarily in the creation of beer and other beverages, as well as herbal medicines."
Dead Soldier,DeadSoldier,Misc,Quest,0,0,100,,,,,,0,,,,False,True,False,The partially eaten body of a very green soldier. He never stood a chance...
Elemental Mote,ElementalMote,Misc,Quest,0,1,0,,,,,,0,,,,False,True,False,The elemental core of a Myrmidon.
Feather,Feather,Misc,Quest,0,0.5,0,,,,,,0,,,,False,True,False,The feather of a bird.
Jester Token,JesterToken,Misc,Quest,0,0,0,,,,,,0,,,,False,True,False,A carnival token that shimmers with magical energy. These are required to breach the Jester's inner sanctum.
Leather,Leather,Misc,Quest,0,0.5,0,,,,,,0,,,,False,True,False,"The dried skin of an animal, used for various purposes."
Mystery Meat,MysteryMeat,Misc,Quest,0,0.5,0,,,,,,0,,,,False,True,False,Unknown meat with a strange smell. Maybe you could do something with this.
Phylactery,Phylactery,Misc,Quest,0,0.05,0,,,,,,0,,,,False,True,False,"The soul artifcat of a Lich, given up willingly to achieve immortality."
Power Core,PowerCore,Misc,Quest,0,1,0,,,,,,0,,,,False,True,False,The power source of a Golem.
