Name,Class ID,Type,Subtype,Value,Rarity,Weight,Damage,Critical Chance,Hands,Offhand Eligible,Armor,Modifier,Element,Restricted To,Restricted Against,Ultimate,Random Drop,Unequipped,Description
Golden Claw,GoldenClaw,OffHand,Crossbow,150000,0.01,8,45,,,,,45,,,,False,True,False,The Saintly Crossbow of the Supernaturally Luminous Golden Claw.
Hand Crossbow,HandCrossbow,OffHand,Crossbow,4000,0.75,3,12,,,,,12,,,,False,True,False,A compact off-hand crossbow.
Heavy Crossbow,HeavyCrossbow,OffHand,Crossbow,12000,0.5,12,20,,,,,20,,,,False,True,False,A weighty crossbow with substantial force.
Light Crossbow,LightCrossbow,OffHand,Crossbow,6000,0.6,5,16,,,,,16,,,,False,True,False,"A light, dependable off-hand crossbow."
Magic Crossbow,MagicCrossbow,OffHand,Crossbow,80000,0.2,4,35,,,,,35,,,,False,True,False,Magic Bolts fired from this crossbow also deal Arcane damage.
Pistol Crossbow,PistolCrossbow,OffHand,Crossbow,48000,0.4,6,24,,,,,24,,,,False,True,False,A powerful crossbow in a compact frame.
Repeating Crossbow,RepeatingCrossbow,OffHand,Crossbow,65000,0.3,10,30,,,,,30,,,,False,True,False,Its magazine can fire two bolts after each basic attack.
Accordina,Accordina,OffHand,Musical Instrument,70000,0.3,5,,,,,,75,,,,False,True,False,
Bagpipes,Bagpipes,OffHand,Musical Instrument,200000,0.05,7,,,,,,150,,,,False,True,False,
Didgeridoo,Didgeridoo,OffHand,Musical Instrument,90000,0.2,4,,,,,,100,,,,False,True,False,
GrandPiano,GrandPiano,OffHand,Musical Instrument,0,0,40,,,,,,0,,,,False,True,False,
Lute,Lute,OffHand,Musical Instrument,5000,0.75,2,,,,,,20,,,,False,True,False,
Lyre,Lyre,OffHand,Musical Instrument,16000,0.5,3,,,,,,30,,,,False,True,False,
Mbira,Mbira,OffHand,Musical Instrument,8000,0.6,1,,,,,,25,,,,False,True,False,
Shamisen,Shamisen,OffHand,Musical Instrument,300000,0.01,6,,,,,,200,,,,False,True,False,
Sitar,Sitar,OffHand,Musical Instrument,125000,0.1,4,,,,,,130,,,,False,True,False,
Tambourine,Tambourine,OffHand,Musical Instrument,55000,0.4,1,,,,,,50,,,,False,True,False,
No OffHand,NoOffHand,OffHand,None,0,0,0,,,,,,0,,,,False,True,True,No off-hand equipped.
Copper Ley Rod,CopperLeyRod,OffHand,Rod,19000,0.5,2,,,,,,38,,,,False,True,False,A straight copper rod etched with ley-line marks. It steadies minor omens and strengthens early rune work.
Dowsing Rod,DowsingRod,OffHand,Rod,75000,0.2,2,,,,,,50,,,,False,True,False,"Also known as a divining rod, this oak Y-shaped branch is thought to help locate natural sources of water. But this is no normal dowsing rod, enhanced by the power of Poseidon. All water-based spells gain double the bonus to spell damage."
