Name,Class ID,Type,Subtype,Value,Rarity,Weight,Damage,Critical Chance,Hands,Offhand Eligible,Armor,Modifier,Element,Restricted To,Restricted Against,Ultimate,Random Drop,Unequipped,Description
Elixir,Elixir,Potion,Elixir,20000,0.2,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 50% of your health and mana.
Megalixir,Megalixir,Potion,Elixir,50000,0.05,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 100% of your health and mana.
Great Health Potion,GreatHealthPotion,Potion,Health,600,0.7,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 50% of your health.
Health Potion,HealthPotion,Potion,Health,100,0.99,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 25% of your health.
Master Health Potion,MasterHealthPotion,Potion,Health,10000,0.3,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 100% of your health.
Super Health Potion,SuperHealthPotion,Potion,Health,3000,0.5,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 75% of your health.
Great Mana Potion,GreatManaPotion,Potion,Mana,1500,0.45,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 50% of your mana.
Mana Potion,ManaPotion,Potion,Mana,250,0.9,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 25% of your mana.
Master Mana Potion,MasterManaPotion,Potion,Mana,35000,0.15,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 100% of your mana.
Super Mana Potion,SuperManaPotion,Potion,Mana,8000,0.3,0.1,,,,,,0,,,,False,True,False,A potion that restores up to 75% of your mana.
Aard of Being,AardBeing,Potion,Stat,250000,0.01,0.1,,,,,,0,,,,False,True,False,A potion that permanently increases all stats by 1.
Charisma Potion,CharismaPotion,Potion,Stat,50000,0.3,0.1,,,,,,0,,,,False,True,False,A potion that permanently increases your charisma by 1.
Constitution Potion,ConPotion,Potion,Stat,50000,0.3,0.1,,,,,,0,,,,False,True,False,A potion that permanently increases your constitution by 1.
Dexterity Potion,DexterityPotion,Potion,Stat,50000,0.3,0.1,,,,,,0,,,,False,True,False,A potion that permanently increases your dexterity by 1.
HP Potion,HPPotion,Potion,Stat,10000,0.7,0.1,,,,,,10,,,,False,True,False,A potion that permanently increases your max health by 10.
Intelligence Potion,IntelPotion,Potion,Stat,50000,0.3,0.1,,,,,,0,,,,False,True,False,A potion that permanently increases your intelligence by 1.
MP Potion,MPPotion,Potion,Stat,15000,0.6,0.1,,,,,,10,,,,False,True,False,A potion that permanently increases your max mana by 10.
Strength Potion,StrengthPotion,Potion,Stat,50000,0.3,0.1,,,,,,0,,,,False,True,False,A potion that permanently increases your strength by 1.
Wisdom Potion,WisdomPotion,Potion,Stat,50000,0.3,0.1,,,,,,0,,,,False,True,False,A potion that permanently increases your wisdom by 1.
Antidote,Antidote,Potion,Status,250,0.9,0.1,,,,,,0,,,,False,True,False,A potion that will cure poison.
Bandage,Bandage,Potion,Status,1000,0.8,0.1,,,,,,0,,,,False,True,False,A linen bandage that will stop bleeding.
Echo Screen,EchoScreen,Potion,Status,1000,0.8,0.1,,,,,,0,,,,False,True,False,A potion that will cure silence.
Eye Drop,EyeDrop,Potion,Status,250,0.9,0.1,,,,,,0,,,,False,True,False,A potion that will cure blindness.
Phoenix Down,PhoenixDown,Potion,Status,2000,0.7,0.1,,,,,,0,,,,False,True,False,A potion that will cure doom status.
Remedy,Remedy,Potion,Status,5000,0.2,0.1,,,,,,0,,,,False,True,False,A potion that will cure all negative status effects.
Status,Status,Potion,Status,0,0,0.1,,,,,,0,,,,False,True,False,Base class for status items.
