Name,Class ID,Type,Subtype,Value,Rarity,Weight,Damage,Critical Chance,Hands,Offhand Eligible,Armor,Modifier,Element,Restricted To,Restricted Against,Ultimate,Random Drop,Unequipped,Description
Broadaxe,Broadaxe,Weapon,Battle Axe,4500,0.85,17,30,0.15,2,False,,0,,,,False,True,False,A broadaxe is broad-headed axe with a large flared blade.
Double Axe,DoubleAxe,Weapon,Battle Axe,10000,0.75,22,42,0.2,2,False,,0,,,,False,True,False,The double axe is basically a broadaxe but with a blade on each side of the axehead.
Greataxe,Greataxe,Weapon,Battle Axe,59000,0.4,26,68,0.3,2,False,,0,,,,False,True,False,A greataxe is a scaled up version of the double axe with greater mass and killing power.
Jarnbjorn,Jarnbjorn,Weapon,Battle Axe,0,0,20,110,0.33,2,False,,0,,,,True,True,False,"Legendary axe of Thor Odinson. Old Norse for ""iron bear""."
Mattock,Mattock,Weapon,Battle Axe,800,0.9,15,12,0.1,2,False,,0,,,,False,True,False,"A mattock is a hand tool used for digging, prying, and chopping, similar to the pickaxe."
Parashu,Parashu,Weapon,Battle Axe,27500,0.5,20,56,0.25,2,False,,0,,,,False,True,False,A parashu is a single-bladed battle axe with an arced edge extending beyond 180 degrees and paired with a spike on the non-cutting edge.
Tabarzin,Tabarzin,Weapon,Battle Axe,100000,0.2,24,86,0.33,2,False,,0,,,,False,True,False,"The tabarzin is notable for its single-bladed axe head, accompanied by a spike on the opposite side. Typically adorned with intricate carvings or inlays, the tabarzin reflects the a unique artistry, blending practical lethality with cultural craftsmanship."
Mace,Mace,Weapon,Club,2000,0.85,6,18,0.05,1,True,,0,,,,False,True,False,"A mace is a blunt weapon, a type of club or virge that uses a heavy head on the end of a handle to deliver powerful strikes. A mace typically consists of a strong, heavy, wooden or metal shaft, often reinforced with metal, featuring a head made of iron."
Mjolnir,Mjolnir,Weapon,Club,0,0,8,76,0.25,1,True,,0,,,,True,True,False,"Mjolnir, wielded by the Thunder god Thor, is depicted in Norse mythology as one of the most fearsome and powerful weapons in existence, capable of leveling mountains."
Morgenstern,Morgenstern,Weapon,Club,43500,0.4,10,48,0.15,1,True,,0,,,,False,True,False,"A morgenstern, or morning star, is a club-like weapon consisting of a shaft with an attached ball adorned with several spikes."
Pernach,Pernach,Weapon,Club,18000,0.5,10,36,0.1,1,True,,0,,,,False,True,False,A pernach is a type of flanged mace used to penetrate even heavy armor plating.
Shishpar,Shishpar,Weapon,Club,85000,0.2,9,62,0.2,1,True,,0,,,,False,True,False,"A shishpar is a heavy, spiked mace traditionally used to crush armor and bone in combat. Its distinctive feature is the large head adorned with several protruding flanges or spikes, designed to maximize the impact force while easily breaking through defenses."
War Hammer,WarHammer,Weapon,Club,4500,0.75,10,26,0.075,1,True,,0,,,,False,True,False,A war hammer is a club with a head featuring both a blunt end and a spike on the other end.
Baselard,Baselard,Weapon,Dagger,1500,0.85,3,10,0.2,1,True,,0,,,,False,True,False,A baselard is a short bladed weapon with an H-shaped hilt.
Carnwennan,Carnwennan,Weapon,Dagger,0,0,2,48,0.5,1,True,,0,,,,True,True,False,"King Arthur's dagger, sometimes described to shroud the user in shadow."
Dirk,Dirk,Weapon,Dagger,125,0.95,2,4,0.15,1,True,,0,,,,False,True,False,A dirk is a long bladed thrusting dagger with a smooth jumpshot.
Khanjar,Khanjar,Weapon,Dagger,75000,0.2,3,36,0.45,1,True,,0,,,,False,True,False,"A khanjar is a curved dagger of Middle Eastern origin, known for its distinctive double-edged blade that tapers to a sharp point. It is designed for swift, precise strikes, making it ideal for close-quarters encounters."
