Wall	Wall	Wall	StairsDown	Wall	CavePath1	CavePath1	CavePath1	CavePath1	Wall	Wall	UnlockedChestRoom2	Wall	UnlockedChestRoom2	Wall	LockedChestRoom2	Wall	Wall	UnlockedChestRoom2	RelicRoom
CavePath1	CavePath1	Wall	UnlockedChestRoom2	Wall	CavePath1	Wall	Wall	CavePath1	LockedChestRoom	Wall	CavePath2	Wall	CavePath2	Wall	CavePath2	CavePath2	CavePath2	BarghestBossRoom	UnlockedChestRoom2
Wall	CavePath1	Wall	MinotaurBossRoom	Wall	CavePath1	Wall	Wall	CavePath1	Wall	Wall	CavePath2	Wall	CavePath2	Wall	CavePath2	Wall	Wall	UnlockedChestRoom2	Wall
Wall	CavePath1	CavePath1	EmptyCavePath	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	Wall	UnlockedChestRoom2	CavePath2	CavePath2	CavePath2	Wall	CavePath2	Wall	Wall	Wall	LockedChestRoom2
Wall	CavePath1	Wall	CavePath1	Wall	CavePath1	Wall	CavePath1	Wall	CavePath1	Wall	Wall	Wall	CavePath2	Wall	CavePath2	Wall	Wall	Wall	CavePath2
Wall	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	Wall	Wall	Wall	CavePath2	CavePath2	CavePath2	Wall	Wall	Wall	CavePath2
Wall	Wall	Wall	WarningTile	Wall	Wall	Wall	Wall	CavePath1	Wall	Wall	Wall	CavePath2	CavePath2	Wall	Wall	Wall	CavePath2	CavePath2	CavePath2
CavePath0	CavePath0	CavePath0	CavePath0	CavePath0	CavePath0	CavePath0	Wall	CavePath1	Wall	Wall	Wall	Wall	CavePath2	Wall	Wall	CavePath2	CavePath2	Wall	Wall
Wall	CavePath0	Wall	Wall	CavePath0	Wall	CavePath0	Wall	CavePath1	Wall	UnlockedChestRoom2	Wall	Wall	CavePath2	CavePath2	CavePath2	CavePath2	Wall	Wall	Wall
Wall	CavePath0	Wall	Wall	UnlockedChestRoom	Wall	CavePath0	Wall	Wall	Wall	CavePath2	Wall	Wall	CavePath2	Wall	CavePath2	Wall	Wall	Wall	Wall
Wall	CavePath0	CavePath0	CavePath0	Wall	StairsUp	CavePath0	CavePath0	CavePath0	Wall	CavePath2	CavePath2	CavePath2	CavePath2	Wall	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2
Wall	Wall	Wall	CavePath0	Wall	Wall	CavePath0	Wall	CavePath0	Wall	Wall	Wall	CavePath2	Wall	Wall	CavePath2	Wall	Wall	Wall	Wall
Wall	Wall	Wall	CavePath0	Wall	CavePath0	CavePath0	Wall	CavePath0	Wall	Wall	Wall	CavePath2	Wall	Wall	Wall	Wall	Wall	Wall	Wall
UnlockedChestRoom	CavePath0	CavePath0	CavePath0	CavePath0	CavePath0	CavePath0	CavePath0	CavePath0	CavePath0	Wall	Wall	CavePath2	Wall	Wall	Wall	UnlockedChestRoom2	EmptyCavePath	UnlockedChestRoom2	Wall
Wall	Wall	Wall	WarningTile	Wall	Wall	Wall	Wall	CavePath0	Wall	Wall	CavePath2	CavePath2	CavePath2	CavePath2	Wall	EmptyCavePath	EmptyCavePath	EmptyCavePath	Wall
UnlockedChestRoom	CavePath1	Wall	CavePath1	Wall	LockedChestRoom2	CavePath2	StairsDown	Wall	Wall	Wall	Wall	CavePath2	Wall	Wall	Wall	EmptyCavePath	LockedChestRoom2	EmptyCavePath	Wall
Wall	CavePath1	CavePath1	CavePath1	Wall	Wall	LockedChestRoom2	Wall	Wall	Wall	Wall	Wall	CavePath2	Wall	Wall	Wall	EmptyCavePath	EmptyCavePath	EmptyCavePath	Wall
Wall	CavePath1	Wall	CavePath1	Wall	CavePath1	Wall	CavePath1	Wall	Wall	Wall	Wall	CavePath2	Wall	Wall	Wall	UnlockedChestRoom2	EmptyCavePath	EmptyCavePath	CavePath2
CavePath1	CavePath1	Wall	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	LockedDoorEast	CavePath2	CavePath2	CavePath2	Wall	Wall	Wall	Wall	CavePath2
Wall	Wall	Wall	CavePath1	Wall	Wall	CavePath1	Wall	CavePath1	Wall	Wall	Wall	Wall	Wall	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2
