		LootRoom	StairsUp		EmptyCavePath	RandomEnemyRoom	LootRoom	RandomEnemyRoom	
RandomEnemyRoom	RandomEnemyRoom		EmptyCavePath		RandomEnemyRoom			EmptyCavePath	LootRoom
	EmptyCavePath		RandomEnemyRoom		EmptyCavePath			EmptyCavePath	
	LootRoom	RandomEnemyRoom	EmptyCavePath	EmptyCavePath	RandomEnemyRoom	LootRoom	EmptyCavePath	RandomEnemyRoom	
	RandomEnemyRoom		RandomEnemyRoom		EmptyCavePath		EmptyCavePath		LootRoom
LootRoom	EmptyCavePath	EmptyCavePath	EmptyCavePath	RandomEnemyRoom	EmptyCavePath	EmptyCavePath	RandomEnemyRoom	EmptyCavePath	RandomEnemyRoom
			RandomEnemyRoom					EmptyCavePath	
	EmptyCavePath	RandomEnemyRoom	EmptyCavePath	EmptyCavePath	EmptyCavePath	LootRoom		EmptyCavePath	
	EmptyCavePath			RandomEnemyRoom				RandomEnemyRoom	
LootRoom	RandomEnemyRoom			LootRoom				EmptyCavePath	
	RandomEnemyRoom	EmptyCavePath	EmptyCavePath		LootRoom	EmptyCavePath	RandomEnemyRoom	RandomEnemyRoom	
			RandomEnemyRoom		EmptyCavePath				
			EmptyCavePath		EmptyCavePath			LootRoom	
LootRoom	RandomEnemyRoom	RandomEnemyRoom	EmptyCavePath	EmptyCavePath	RandomEnemyRoom	RandomEnemyRoom	EmptyCavePath	RandomEnemyRoom	LootRoom
			LootRoom					LootRoom	
