	RandomEnemyRoom	LootRoom			EmptyCavePath	RandomEnemyRoom	LootRoom	RandomEnemyRoom	StairsDown
RandomEnemyRoom	EmptyCavePath		EmptyCavePath		RandomEnemyRoom			CockatriceRoom	LootRoom
	EmptyCavePath		RandomEnemyRoom		EmptyCavePath			EmptyCavePath	
LootRoom	EmptyCavePath	RandomEnemyRoom	EmptyCavePath		RandomEnemyRoom	LootRoom	EmptyCavePath	RandomEnemyRoom	
	RandomEnemyRoom		RandomEnemyRoom	LootRoom	EmptyCavePath		EmptyCavePath		LootRoom
	EmptyCavePath	EmptyCavePath		RandomEnemyRoom	EmptyCavePath	EmptyCavePath	RandomEnemyRoom	EmptyCavePath	RandomEnemyRoom
RandomEnemyRoom	RandomEnemyRoom		RandomEnemyRoom					EmptyCavePath	
	EmptyCavePath	RandomEnemyRoom	EmptyCavePath	EmptyCavePath		LootRoom		EmptyCavePath	
	EmptyCavePath			RandomEnemyRoom		EmptyCavePath	RandomEnemyRoom	RandomEnemyRoom	
LootRoom	RandomEnemyRoom							EmptyCavePath	
	RandomEnemyRoom		EmptyCavePath		LootRoom	EmptyCavePath	RandomEnemyRoom	RandomEnemyRoom	
			RandomEnemyRoom		EmptyCavePath				
StairsUp			EmptyCavePath		EmptyCavePath			LootRoom	
LootRoom	RandomEnemyRoom	RandomEnemyRoom	EmptyCavePath	EmptyCavePath	RandomEnemyRoom	RandomEnemyRoom	EmptyCavePath	RandomEnemyRoom	LootRoom
			LootRoom			StairsUp		LootRoom	
