StairsDown	Wall	Wall	LockedChestRoom	Wall	CavePath1	CavePath1	CavePath1	CavePath1	StairsUp	LockedDoor	JesterBossRoom	LockedDoor	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	LockedDoor	CavePath2
UnlockedChestRoom2	IronGolemBossRoom	Wall	CavePath1	Wall	CavePath1	Wall	Wall	CavePath1	Wall	Wall	LockedDoor	Wall	Wall	Wall	Wall	Wall	Wall	Wall	CavePath2
Wall	EmptyCavePath	Wall	CavePath1	Wall	CavePath1	Wall	Wall	CavePath1	Wall	Wall	CavePath2	Wall	UnlockedChestRoom2	Wall	StairsDown	Wall	UnlockedChestRoom2	Wall	CavePath2
Wall	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	Wall	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2
Wall	CavePath1	Wall	CavePath1	Wall	CavePath1	Wall	CavePath1	Wall	CavePath1	Wall	CavePath2	Wall	EmptyCavePath	LockedDoor	CavePath2	LockedDoor	StairsDown	Wall	CavePath2
CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2
Wall	Wall	Wall	CavePath1	Wall	Wall	Wall	Wall	CavePath1	Wall	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2
Wall	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	Wall	CavePath1	Wall	Wall	CavePath2	Wall	UnlockedChestRoom2	Wall	CavePath2	Wall	UnlockedChestRoom2	Wall	CavePath2
Wall	CavePath1	Wall	Wall	CavePath1	Wall	Wall	Wall	CavePath1	Wall	Wall	CavePath2	Wall	Wall	EmptyCavePath	EmptyCavePath	EmptyCavePath	Wall	Wall	CavePath2
CavePath1	CavePath1	Wall	Wall	UnlockedChestRoom	Wall	Wall	Wall	CavePath1	Wall	Wall	CavePath2	Wall	StairsDown	EmptyCavePath	StairsDown	EmptyCavePath	StairsDown	Wall	CavePath2
Wall	CavePath1	CavePath1	CavePath1	Wall	CavePath1	CavePath1	CavePath1	CavePath1	Wall	Wall	CavePath2	Wall	Wall	EmptyCavePath	EmptyCavePath	EmptyCavePath	Wall	Wall	CavePath2
SecretShop	Wall	Wall	CavePath1	Wall	CavePath1	Wall	Wall	CavePath1	Wall	Wall	CavePath2	Wall	UnlockedChestRoom2	Wall	CavePath2	Wall	LockedChestRoom2	Wall	CavePath2
LockedDoor	Wall	Wall	CavePath1	Wall	CavePath1	Wall	Wall	CavePath1	Wall	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2
LockedChestRoom	CavePath1	CavePath1	CavePath1	Wall	CavePath1	CavePath1	CavePath1	CavePath1	CavePath1	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2
LockedDoor	Wall	Wall	CavePath1	Wall	Wall	Wall	Wall	CavePath1	Wall	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2
CavePath2	Wall	CavePath2	Wall	UnlockedChestRoom2	Wall	CavePath2	Wall	LockedDoor	Wall	Wall	CavePath2	Wall	EmptyCavePath	LockedDoor	CavePath2	LockedDoor	StairsDown	Wall	CavePath2
CavePath2	Wall	CavePath2	Wall	CavePath2	Wall	CavePath2	Wall	CavePath2	Wall	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2	Wall	EmptyCavePath	Wall	CavePath2
CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	Wall	Wall	CavePath2	Wall	UnlockedChestRoom2	Wall	StairsDown	Wall	LockedChestRoom2	Wall	CavePath2
CavePath2	Wall	CavePath2	Wall	CavePath2	Wall	CavePath2	Wall	CavePath2	Wall	Wall	LockedDoor	Wall	Wall	Wall	Wall	Wall	Wall	Wall	LockedDoor
UnlockedChestRoom2	Wall	CavePath2	Wall	UnlockedChestRoom2	Wall	CavePath2	Wall	LockedChestRoom2	Wall	LockedChestRoom2	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	CavePath2	LockedDoor	RelicRoom
