Wall	Wall	Wall	StairsDown	Wall	RandomTile	RandomTile	RandomTile	RandomTile	Wall	Wall	UnlockedChestRoom2	Wall	UnlockedChestRoom2	Wall	LockedChestRoom2	Wall	Wall	UnlockedChestRoom2	RelicRoom
RandomEnemyRoom	RandomTile	Wall	UnlockedChestRoom2	Wall	RandomTile	Wall	Wall	EmptyCavePath	LockedChestRoom	Wall	RandomTile2	Wall	RandomEnemyRoom2	Wall	RandomTile2	RandomTile2	RandomTile2	BarghestBossRoom	UnlockedChestRoom2
Wall	EmptyCavePath	Wall	MinotaurBossRoom	Wall	RandomTile	Wall	Wall	RandomTile	Wall	Wall	RandomTile2	Wall	RandomTile2	Wall	RandomTile2	Wall	Wall	UnlockedChestRoom2	Wall
Wall	RandomTile	RandomTile	EmptyCavePath	EmptyCavePath	RandomTile	RandomEnemyRoom	RandomTile	RandomTile	Wall	UnlockedChestRoom2	RandomTile2	RandomTile2	RandomTile2	Wall	RandomTile2	Wall	Wall	Wall	LockedChestRoom2
Wall	RandomTile	Wall	RandomEnemyRoom	Wall	EmptyCavePath	Wall	RandomTile	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	RandomTile2	Wall	Wall	Wall	RandomTile2
Wall	EmptyCavePath	RandomTile	RandomTile	RandomTile	RandomTile	EmptyCavePath	RandomTile	EmptyCavePath	RandomTile	Wall	Wall	Wall	EmptyCavePath	EmptyCavePath	EmptyCavePath	Wall	Wall	Wall	RandomTile2
Wall	Wall	Wall	WarningTile	Wall	Wall	Wall	Wall	RandomTile	Wall	Wall	Wall	RandomEnemyRoom2	RandomTile2	Wall	Wall	Wall	RandomTile2	RandomTile2	RandomTile2
RandomEnemyRoom0	EmptyCavePath	RandomEnemyRoom0	RandomEnemyRoom0	EmptyCavePath	EmptyCavePath	RandomEnemyRoom0	Wall	EmptyCavePath	Wall	Wall	Wall	Wall	RandomTile2	Wall	Wall	RandomTile2	RandomTile2	Wall	Wall
Wall	RandomEnemyRoom0	Wall	Wall	RandomEnemyRoom0	Wall	RandomEnemyRoom0	Wall	RandomEnemyRoom	Wall	UnlockedChestRoom2	Wall	Wall	RandomTile2	RandomTile2	RandomTile2	RandomTile2	Wall	Wall	Wall
Wall	EmptyCavePath	Wall	Wall	UnlockedChestRoom	Wall	EmptyCavePath	Wall	Wall	Wall	RandomTile2	Wall	Wall	RandomTile2	Wall	RandomEnemyRoom2	Wall	Wall	Wall	Wall
Wall	RandomEnemyRoom0	RandomEnemyRoom0	EmptyCavePath	Wall	StairsUp	EmptyCavePath	RandomEnemyRoom0	EmptyCavePath	Wall	RandomTile2	RandomTile2	RandomTile2	RandomTile2	Wall	RandomTile2	RandomTile2	RandomTile2	RandomTile2	RandomEnemyRoom2
Wall	Wall	Wall	RandomEnemyRoom0	Wall	Wall	RandomEnemyRoom0	Wall	RandomEnemyRoom0	Wall	Wall	Wall	RandomTile2	Wall	Wall	RandomTile2	Wall	Wall	Wall	Wall
Wall	Wall	Wall	RandomEnemyRoom0	Wall	RandomEnemyRoom0	EmptyCavePath	Wall	EmptyCavePath	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	Wall	Wall	Wall	Wall
RandomEnemyRoom0	EmptyCavePath	RandomEnemyRoom0	RandomEnemyRoom0	RandomEnemyRoom0	EmptyCavePath	RandomEnemyRoom0	EmptyCavePath	EmptyCavePath	RandomEnemyRoom0	Wall	Wall	EmptyCavePath	Wall	Wall	Wall	UnlockedChestRoom2	RandomTile2	UnlockedChestRoom2	Wall
Wall	Wall	Wall	WarningTile	Wall	Wall	Wall	Wall	RandomEnemyRoom0	Wall	Wall	RandomEnemyRoom2	RandomTile2	RandomTile2	RandomTile2	Wall	RandomTile2	RandomEnemyRoom2	RandomTile2	Wall
UnlockedChestRoom	RandomEnemyRoom	Wall	RandomTile	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomEnemyRoom2	LockedChestRoom2	RandomEnemyRoom2	Wall
Wall	RandomTile	RandomTile	RandomTile	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile2	RandomEnemyRoom2	RandomTile2	Wall
Wall	RandomTile	Wall	RandomTile	Wall	RandomEnemyRoom	Wall	RandomEnemyRoom	Wall	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	UnlockedChestRoom2	RandomTile2	RandomEnemyRoom2	EmptyCavePath
RandomTile	EmptyCavePath	Wall	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	RandomTile	LockedDoorEast	RandomTile2	RandomTile2	RandomTile2	Wall	Wall	Wall	Wall	RandomTile2
Wall	Wall	Wall	RandomEnemyRoom	Wall	Wall	RandomEnemyRoom	Wall	RandomEnemyRoom	Wall	Wall	Wall	Wall	Wall	RandomTile2	RandomTile2	RandomTile2	RandomTile2	RandomTile2	RandomTile2
