Wall	RandomTile	RandomEnemyRoom	Wall	Wall	EmptyCavePath	UnlockedChestRoom	Wall	UnlockedChestRoom2	StairsDown	LockedDoorEast	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	RandomTile2	Wall
LockedChestRoom	RandomTile	Wall	RandomTile	Wall	RandomEnemyRoom	Wall	Wall	CockatriceBossRoom	UnlockedChestRoom2	Wall	Wall	Wall	Wall	LockedDoorSouth	Wall	Wall	Wall	RandomTile2	Wall
Wall	RandomTile	Wall	RandomTile	Wall	RandomTile	Wall	Wall	EmptyCavePath	Wall	Wall	Wall	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	Wall	RandomTile2	RandomTile2
RandomTile	RandomTile	RandomTile	EmptyCavePath	Wall	RandomTile	EmptyCavePath	RandomTile	RandomTile	Wall	Wall	RandomTile2	EmptyCavePath	Wall	Wall	Wall	EmptyCavePath	RandomTile2	Wall	RandomTile2
Wall	RandomTile	Wall	RandomTile	RandomTile	RandomTile	Wall	EmptyCavePath	Wall	RandomEnemyRoom	Wall	Wall	EmptyCavePath	Wall	Wall	Wall	EmptyCavePath	Wall	RandomTile2	RandomTile2
Wall	RandomTile	RandomTile	Wall	RandomTile	RandomTile	EmptyCavePath	RandomTile	RandomTile	RandomTile	Wall	Wall	EmptyCavePath	Wall	Wall	Wall	EmptyCavePath	Wall	RandomTile2	Wall
RandomTile	RandomTile	Wall	RandomTile	Wall	Wall	Wall	Wall	RandomTile	Wall	Wall	Wall	EmptyCavePath	Wall	UnlockedChestRoom2	Wall	EmptyCavePath	Wall	RandomTile2	RandomTile2
Wall	RandomTile	RandomEnemyRoom	LockedDoorEast	RandomTile2	Wall	RandomEnemyRoom	Wall	RandomTile	Wall	Wall	LockedChestRoom2	EmptyCavePath	LockedDoorEast	UnlockedChestRoom2	LockedDoorWest	EmptyCavePath	UnlockedChestRoom2	Wall	RandomTile2
Wall	RandomTile	Wall	Wall	RandomEnemyRoom2	Wall	RandomTile	RandomTile	RandomTile	Wall	Wall	Wall	EmptyCavePath	Wall	UnlockedChestRoom2	Wall	EmptyCavePath	Wall	RandomTile2	RandomTile2
RandomTile	RandomTile	Wall	Wall	LockedChestRoom2	Wall	Wall	Wall	RandomTile	Wall	Wall	Wall	EmptyCavePath	Wall	Wall	Wall	EmptyCavePath	Wall	RandomTile2	Wall
Wall	RandomTile	Wall	UnlockedChestRoom	Wall	RandomEnemyRoom	EmptyCavePath	EmptyCavePath	RandomTile	Wall	Wall	Wall	EmptyCavePath	Wall	Wall	Wall	EmptyCavePath	Wall	RandomTile2	RandomTile2
Wall	Wall	Wall	RandomTile	Wall	EmptyCavePath	Wall	Wall	Wall	Wall	Wall	RandomTile2	EmptyCavePath	Wall	Wall	Wall	EmptyCavePath	RandomTile2	Wall	RandomTile2
StairsUp	Wall	Wall	RandomTile	Wall	EmptyCavePath	Wall	Wall	RandomTile	Wall	Wall	Wall	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	Wall	RandomTile2	RandomTile2
EmptyCavePath	RandomTile	RandomEnemyRoom	RandomTile	RandomTile	RandomTile	RandomTile	RandomTile	RandomTile	UnlockedChestRoom	Wall	Wall	Wall	Wall	LockedChestRoom2	Wall	Wall	Wall	RandomTile2	Wall
RandomTile	Wall	Wall	RandomEnemyRoom	Wall	Wall	StairsUp	Wall	RandomTile	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	RandomTile2	RandomTile2
RandomTile	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	RandomTile2
LockedDoorSouth	Wall	UnlockedChestRoom2	Wall	UnlockedChestRoom2	Wall	WendigoBossRoom	RelicRoom	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	Wall	RandomTile2	RandomTile2
RandomTile2	Wall	LockedDoorNorth	Wall	LockedDoorNorth	Wall	LockedDoorNorth	Wall	RandomTile2	RandomTile2	RandomTile2	Wall	RandomTile2	RandomTile2	RandomTile2	Wall	RandomTile2	RandomTile2	RandomTile2	Wall
RandomTile2	Wall	EmptyCavePath	Wall	EmptyCavePath	Wall	EmptyCavePath	Wall	RandomTile2	Wall	RandomTile2	Wall	RandomTile2	Wall	RandomTile2	Wall	RandomTile2	Wall	RandomTile2	Wall
EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	EmptyCavePath	LockedDoorEast	RandomTile2	Wall	RandomTile2	RandomTile2	RandomTile2	Wall	RandomTile2	RandomTile2	RandomTile2	Wall	RandomEnemyRoom2	Wall
