RandomTile	RandomTile	RandomTile	StairsUp	LockedDoorEast	JesterBossRoom	LockedDoorEast	RandomTile	RandomTile	RandomTile	RandomTile	RandomTile	LockedDoorEast	RandomTile
Wall	Wall	RandomTile	Wall	Wall	LockedDoorSouth	Wall	Wall	Wall	Wall	Wall	Wall	Wall	RandomTile
Wall	Wall	RandomTile	Wall	Wall	RandomTile	Wall	Wall	Wall	StairsDown	Wall	Wall	Wall	RandomTile
RandomTile	RandomTile	RandomTile	Wall	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile
Wall	RandomTile	Wall	RandomEnemyRoom	Wall	RandomTile	Wall	UnlockedChestRoom2	LockedDoorWest	RandomTile2	LockedDoorEast	UnlockedChestRoom2	Wall	RandomTile
RandomTile	RandomTile	EmptyCavePath	RandomTile	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile
Wall	Wall	EmptyCavePath	Wall	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile
RandomEnemyRoom	Wall	RandomTile	Wall	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile
Wall	Wall	RandomTile	Wall	Wall	RandomTile	Wall	Wall	RandomTile2	RandomTile2	RandomTile2	Wall	Wall	RandomTile
Wall	Wall	RandomTile	Wall	Wall	RandomTile	Wall	StairsDown	RandomTile2	StairsDown	RandomTile2	StairsDown	Wall	RandomTile
RandomTile	RandomTile	RandomTile	Wall	Wall	RandomTile	Wall	Wall	RandomTile2	RandomTile2	RandomTile2	Wall	Wall	RandomTile
Wall	Wall	RandomTile	Wall	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile
Wall	Wall	RandomTile	Wall	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile
RandomTile	RandomTile	RandomTile	RandomEnemyRoom	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile
Wall	Wall	RandomEnemyRoom	Wall	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile
Wall	Wall	LockedDoorSouth	Wall	Wall	RandomTile	Wall	UnlockedChestRoom2	LockedDoorWest	RandomTile2	LockedDoorEast	LockedChestRoom2	Wall	RandomTile
Wall	Wall	RandomTile2	Wall	Wall	RandomTile	Wall	Wall	Wall	RandomTile2	Wall	Wall	Wall	RandomTile
RandomTile2	RandomTile2	RandomTile2	Wall	Wall	RandomTile	Wall	Wall	Wall	StairsDown	Wall	Wall	Wall	RandomTile
Wall	Wall	RandomTile2	Wall	Wall	LockedDoorSouth	Wall	Wall	Wall	Wall	Wall	Wall	Wall	LockedDoorSouth
Wall	Wall	LockedChestRoom2	Wall	LockedChestRoom2	RandomTile	RandomTile	RandomTile	RandomTile	RandomTile	RandomTile	RandomTile	LockedDoorEast	RelicRoom
